Country,ISO,Region,Sub-region,Year,World Bank Classification,r_Gross Domestic Product (PPP),x_y_r_Life Expectancy,x_Social Indicator 2,x_y_r_GNI per capita,y_Economic Indicator 2
Lao PDR,LAO,Asia,South-eastern Asia,2009,1,22200000000,63.85105,,890,
Latvia,LVA,Europe,Northern Europe,2009,4,36200000000,73.08049,,14000,
Lebanon,LBN,Asia,Western Asia,2009,3,63300000000,78.21949,,7840,
Lesotho,LSO,Africa,Southern Africa,2009,2,4410000000,46.63459,,1200,
Liberia,LBR,Africa,Western Africa,2009,1,2520000000,58.86566,,220,
Libya,LBY,Africa,Northern Africa,2009,3,168000000000,71.78095,,11900,
Liechtenstein,LIE,Europe,Western Europe,2009,4,,81.5,,115530,
Lithuania,LTU,Europe,Northern Europe,2009,3,57500000000,72.91463,,12400,
Luxembourg,LUX,Europe,Western Europe,2009,5,40213194840,80.63659,,69520,
Macao,MAC,Asia,Eastern Asia,2009,4,40700000000,79.47617,,37100,
"Macedonia, FYR",MKD,Europe,Southern Europe,2009,3,22600000000,74.57895,,4630,
Madagascar,MDG,Africa,Eastern Africa,2009,1,28295673249,62.91817,,410,
Malawi,MWI,Africa,Eastern Africa,2009,1,14189510517,55.08237,,400,
Malaysia,MYS,Asia,South-eastern Asia,2009,3,537000000000,74.03841,,7530,
Maldives,MDV,Asia,Southern Asia,2009,2,3490000000,76.01866,,5030,
Mali,MLI,Africa,Western Africa,2009,1,25900000000,55.63344,,670,
Malta,MLT,Europe,Southern Europe,2009,4,10800000000,80.24146,,19500,
Marshall Islands,MHL,Oceania,Micronesia,2009,2,165000000,,,3720,
Mauritania,MRT,Africa,Western Africa,2009,1,11100000000,61.71073,,1090,
Mauritius,MUS,Africa,Eastern Africa,2009,3,18500000000,72.88244,,7720,
Mexico,MEX,Americas,Central America,2009,3,1630000000000,75.87741,,8690,
"Micronesia, Fed. Sts.",FSM,Oceania,Micronesia,2009,2,326000000,68.48954,,2770,
Moldova,MDA,Europe,Eastern Europe,2009,2,12600000000,69.14329,,1570,
