Country,Year,Urban Population (As a %),Life Expectancy,World Bank Classification,Continental Classification,Mobile Phone Subscriptions per 100 people,Infant Mortality per 1000 births,Internet Access (Users per 100 people),Trade as a % of GDP,Percentage of Women formally employed,Unmployment %,Fertility Rate (child/woman),"GNI per Capita, PPP(ci$)",Gross Capital Formation (%GDP),Gross Domestic Savings(%GDP),Net ODA received(%GNI),HIV/AIDS newly infected,Tuberculosis Incidence (per100k),World Bank Corruption Index,Transparency International CPI,Political Stability/Absence of Violence Index,Women in National Parliaments,Value Added By Manufacturing(%ofGDP),Value Added By Services(%ofGDP),Government Effectivness Index,Perceived Rule Of Law,Regulatory Quality,Voice And Accountability,Tax Revenue as a % of GDP,Freedom House Ranking,Tertiary Enrollment Rate,Electricity Consumption (kWh/capita),Improved Sanitation Access,ATMs per 100k people,Business Startup Cost (%ofGNIpercap),Market Capitalization of Domestic Companies (%GDP),Bank Branches (per 100k),Primary Education Enrollment,Intentional Homicides (per100k),Poverty Rate (%ofPopUnder$1.90aDay)
Papua New Guinea,1995,14.1,57.35,3,6,0,61.2,,104.7,69.7,3,4.67,1470,21.94,39.28,8.47,2700,,,,,,8.41,30.86,,,,,19.73,,2.82,,19.7,,,,,,,
Peru,1995,71,68.02,6,3,0.31,42.5,0.03,30.9,51.2,5.5,3.32,4220,24.74,19.01,0.75,4900,,,,,,17.03,58.76,,,,,13.68,,27.02,546.37,58,,,,,88.54,,16.49
Philippines,1995,48.3,66.07,3,2,0.71,33.5,0.03,80.5,49.5,8.4,4.01,2980,22.45,14.63,1.18,500,,,27.7,,,22.99,46.31,,,,,16.29,,27.3,398.52,60.5,,,,,,,22.54
Russia,1995,73.4,65.22,6,7,0.06,22.2,0.15,55.2,52.7,9.4,1.34,5560,25.44,28.83,,,,,,,,,55.88,,,,,,,43.12,5101.56,72.6,,,,,93.25,,
Rwanda,1995,9.8,31.63,1,4,0,129.6,,31,86.3,0.6,6.16,490,13.41,-7.26,53.48,19000,,,,,,10.22,40.03,,,,,,,,,40.2,,,,,,,72.42
Senegal,1995,39.6,57.38,1,4,0,70.8,0,68.2,63.4,9.3,6.05,1250,13.62,7.16,13.81,3600,,,,,,16.59,55.21,,,,,,,,109.06,37.9,,,,,,,56.33
South Africa,1995,54.5,61.37,6,7,1.29,48.2,0.68,43.6,44.5,16.9,3.11,6570,19.17,19.83,0.25,630000,,,56.2,,,21.35,61.27,,,,,22.42,,,4403.68,53.8,,,178.43,,94.96,64.92,32.3
Sri Lanka,1995,18.5,69.42,3,2,0.28,17.2,0.01,81.6,36.3,12.2,2.29,3240,25.73,15.29,4.31,100,,,,,,,,,,,,17.75,,,217.77,76,,,,,,,8.85
Tunisia,1995,61.5,71.35,3,4,0.04,35.9,0.01,93.7,22.8,14.5,2.67,4260,24.7,20.79,0.43,100,,,,,,21.75,53.24,,,,,20.49,,12.24,774.88,77.8,,,22.34,,96.42,,10.86
Venezuela,1995,86.2,70.93,6,3,1.83,22.1,0.12,48.9,41.2,10.2,3.08,10880,18.11,23.41,0.06,6700,,,26.6,,,15.11,53.2,,,,,12.92,,,2620.8,85.3,,,5.72,,,20.34,8.56
Vietnam,1995,22.2,71.85,3,2,0.03,30.9,,74.7,73.6,2.1,2.71,1470,27.14,18.05,4.07,6600,,,,,,14.99,44.06,,,,,18.75,,2.79,159.3,44.6,,,,,,,41.99
Albania,1996,39.5,72.53,6,1,0.07,27.9,0.03,43.2,52.7,15.6,2.51,3180,21.15,0.33,6.69,7,,11.71,,31.4,,9.1,47.18,22.44,20.57,34.31,24.52,8.55,,10.96,886.67,80.2,,,,,,7.97,1.1
Bangladesh,1996,22.1,62.63,3,2,0,77.4,,26.1,57.4,2.5,3.59,1120,20.73,14.07,2.58,100,,27.32,22.9,25.12,,14.73,52.72,24.39,18.66,16.18,47.12,,,,79.68,41.1,,,15.90,,,,34.81
Bolivia,1996,59.9,58.42,3,3,0.43,69.5,0.2,49.9,57.4,5.2,4.42,3050,16.24,11.54,11.44,1500,,21.95,34,38.65,,18.96,51.35,49.27,42.11,58.82,52.4,12.29,,24.94,372.79,34.1,,,1.54,,,,19.25
Brazil,1996,78.3,68.11,6,7,1.52,37.2,0.45,15.6,52.2,6.8,2.47,8010,17.27,15.09,0.03,35000,,56.1,29.6,38.16,,14.95,68.99,50.73,41.63,65.2,53.85,,,,1680.06,71.5,,,,,,,14.17
Burundi,1996,7.4,49.46,1,4,0.01,101.7,0,21.6,87.2,7.3,7.27,550,8.21,-1.72,12.92,16000,,4.88,,2.9,,6.72,30.15,2.93,2.87,4.41,3.85,13.44,,,,43.3,,,,,,,83.12
Central African Republic,1996,37.3,46.35,1,4,0.03,115.4,0.01,47.1,70.7,7.1,5.57,590,7.28,3.13,17.09,23000,,4.88,,9.18,,7.74,31.6,5.37,6.22,20.59,18.75,,,,,15.9,,,,,,,76.18
China,1996,31.9,70.2,6,7,0.55,36.4,0.01,34.5,72,4.6,1.59,2040,38.37,41.13,0.31,,,43.9,24.3,41.06,,33.21,33.57,46.83,36.36,47.55,12.02,,,5,821.08,54.3,,,,,90.91,,42.05
Colombia,1996,70.8,69.75,6,3,1.4,24.2,0.33,36,38.5,13.7,2.6,6160,22.15,16.51,0.2,5900,,32.68,27.3,8.21,,15.49,55.42,48.78,22.01,55.88,29.33,,,17.28,887.8,72.5,,,,,86.28,71.79,15.62
Congo,1996,33.3,49,1,4,0.02,113.8,0,60.3,69.9,8.2,7.12,480,27.85,27.54,3.08,56000,,0,,0,,8.92,33.81,3.41,1.44,2.94,4.33,4.76,,,103.24,20.8,,,,,,,
Ecuador,1996,58.3,71.6,6,3,0.52,33.6,0.09,44.2,45.6,4.7,3.29,5480,18.54,18.87,1.03,2900,,20.98,31.9,20.29,,20.18,53.41,28.78,33.49,45.1,48.56,,,,613.17,64.8,,,8.86,,93.69,,14.42
Georgia,1996,53.6,70.45,6,1,0.05,37.1,0.04,45.7,58.5,12.3,1.81,1900,19.6,0.55,10.23,500,,4.88,,6.76,,11.13,42.14,27.8,8.13,18.14,36.06,,,41.35,1119.78,97.7,,,,,83.75,5.41,6.04
Ghana,1996,40.9,57.34,3,4,0.07,71,0.01,72.2,71.4,9.6,4.96,1530,21.2,13.22,9.57,36000,,49.27,,34.78,,9.73,29.56,53.17,41.15,35.78,39.42,,,,367.98,9,,,23.92,,,,37.71
Haiti,1996,33.2,56.59,1,5,0,85.1,0.01,40.2,57.1,10.8,4.78,1280,28.13,10.56,12.58,32000,,10.24,,19.81,,,,9.27,3.83,17.16,22.12,,,,33.52,19.6,,,,,,,
Honduras,1996,43.4,69.26,3,5,0.04,35.6,0.04,98.8,40.1,4.4,4.53,2350,31.13,26.01,9.43,3200,,12.68,,27.05,,18.11,46.92,19.51,19.62,26.47,38.46,,,10.86,411.91,57.4,,,,,,,30.35
India,1996,26.8,60.92,3,7,0.03,75.4,0.05,21.6,35.1,4,3.58,1600,22.06,20.92,0.48,270000,,40,26.3,19.32,,16.94,46.27,53.66,59.33,32.35,62.02,9.07,,6.29,360.95,21.7,,,,,,4.4,43.81
Indonesia,1996,37.2,65.31,3,2,0.29,48.7,0.06,52.3,51.1,4.4,2.63,4610,30.69,30.08,0.48,3300,,30.73,26.5,13.04,,25.62,39.87,37.07,39.71,57.35,23.56,14.23,,11.54,297.16,42.3,,,40.02,,92.56,,45.89
Jordan,1996,78.7,71.1,6,2,0.54,25.5,0.04,131,12.1,13.7,4.53,5140,30.52,5.23,7.65,,,53.17,48.9,41.55,,13.76,70.04,59.51,59.81,53.92,45.67,21.69,,20.65,1227.94,97.6,,,,,,,
Kazakhstan,1996,55.9,64.11,6,2,0.06,44,0.03,71.3,63,13,2.13,6210,20.53,19.79,0.6,500,,9.27,,28.99,,13.94,60.28,13.17,11.48,39.71,18.27,,,30.8,3636.63,96.6,,,,,,16.71,6.33
Kenya,1996,18.6,53.4,3,4,0.01,71.7,0.01,57.3,65.9,9.9,5.17,1630,15,8.09,5.03,200000,,15.12,22.1,21.74,,13.26,50.93,43.41,16.27,36.27,28.37,15.85,,,130,26,,,14.93,,,,20.62
Lebanon,1996,85.1,72.52,6,2,6.45,20.8,0.14,68.1,18.6,8.4,2.54,9880,34.79,-7.61,1.67,100,,36.59,,21.26,,13.98,68.25,54.15,44.02,32.84,41.35,,,27.54,2116.92,,,,17.50,,,,
