Country,Year,Urban Population (As a %),Life Expectancy,World Bank Classification,Continental Classification,Mobile Phone Subscriptions per 100 people,Infant Mortality per 1000 births,Internet Access (Users per 100 people),Trade as a % of GDP,Percentage of Women formally employed,Unmployment %,Fertility Rate (child/woman),"GNI per Capita, PPP(ci$)",Gross Capital Formation (%GDP),Gross Domestic Savings(%GDP),Net ODA received(%GNI),HIV/AIDS newly infected,Tuberculosis Incidence (per100k),World Bank Corruption Index,Transparency International CPI,Political Stability/Absence of Violence Index,Women in National Parliaments,Value Added By Manufacturing(%ofGDP),Value Added By Services(%ofGDP),Government Effectivness Index,Perceived Rule Of Law,Regulatory Quality,Voice And Accountability,Tax Revenue as a % of GDP,Freedom House Ranking,Tertiary Enrollment Rate,Electricity Consumption (kWh/capita),Improved Sanitation Access,ATMs per 100k people,Business Startup Cost (%ofGNIpercap),Market Capitalization of Domestic Companies (%GDP),Bank Branches (per 100k),Primary Education Enrollment,Intentional Homicides (per100k),Poverty Rate (%ofPopUnder$1.90aDay)
Sri Lanka,1997,18.5,69.5,3,2,0.62,16,0.16,80.1,35.5,10.6,2.25,3660,24.39,17.32,2.22,100,,,,,5.3,,,,,,,16.01,,,231.68,78,,,,,,,8.67
Tunisia,1997,62.3,71.9,3,4,0.08,31.9,0.04,80.5,23.6,15.9,2.38,4860,24.46,22.19,0.98,100,,,,,6.7,18.77,57.66,,,,,18.44,,13.89,826.16,79.4,,,10.78,,94.34,,8.64
Venezuela,1997,87,71.51,6,3,4.66,20.8,0.39,51.2,46.2,10.6,2.97,11450,27.67,34.95,0.01,7300,,,27.7,,5.9,23.17,44.24,,,,,17.47,,,2668.69,86.5,,,16.99,,,18.4,10.48
Vietnam,1997,23,72.4,3,2,0.21,28.9,0,94.3,73.3,2.9,2.36,1730,28.3,20.16,3.79,17000,,,27.9,,26.2,16.48,42.15,,,,,16.93,,6.84,210.61,47.9,,,,,,,37.19
Albania,1998,40.6,73.33,6,1,0.17,25.5,0.07,45.5,52.4,16,2.34,3300,21.02,-2.77,9.65,5,,13.66,,25.12,,7.02,56.41,24.88,11,44.12,36.06,13.7,,13.59,721.74,81.8,,,,,,18.61,1.52
Bangladesh,1998,22.8,64.06,3,2,0.06,70.6,0,27.9,55.8,2.5,3.37,1220,22.12,17.76,2.26,200,,39.02,,29.47,9.1,15.63,52.41,39.02,19.62,17.65,45.19,,,,86.36,43.3,,,4.06,,,,34.27
Bolivia,1998,60.9,59.55,3,3,2.94,64.1,0.63,52.3,59.7,3.5,4.24,3330,23.61,10.72,7.59,1300,,51.22,28,33.33,,16.26,54.96,54.63,43.54,58.33,56.25,13.55,,28.71,408.66,35.9,,,6.71,,95.27,,22.28
Brazil,1998,79.8,69.11,6,7,4.35,32.4,1.48,16.4,53.6,8.9,2.43,8130,18.16,15.79,0.03,37000,,60.98,40,31.4,6.6,13.81,69.46,52.2,41.63,66.18,53.85,11.95,,,1800.59,73.1,,,,,,,12.71
Burundi,1998,7.8,50.69,1,4,0.01,97.9,0.02,27.4,85.4,7.1,7.17,570,6.77,-4.67,7.76,16000,,6.83,,0.97,11.9,11.11,36.13,3.41,5.74,6.86,3.85,14.35,,0.91,,43.8,,,,,,,84.12
Central African Republic,1998,37.5,45.37,1,4,0.05,114.7,0.03,51,70.5,6.9,5.52,640,11.01,5.28,12.64,20000,,14.15,,11.59,3.5,6.22,29.89,6.83,6.22,18.63,26.92,,,,,16.5,,,,,,,72.92
China,1998,33.9,70.89,6,7,1.89,33.5,0.17,32.8,71.4,4.7,1.48,2420,35.68,40.36,0.24,,,45.85,35,30.43,21.8,31.54,37.04,53.17,38.76,37.25,10.58,,,5.98,870.62,56.6,,,,,,,41.05
Colombia,1998,71.5,70.39,6,3,4.67,22.6,1.13,35.9,43.5,13.1,2.48,6410,19.73,13.83,0.17,6800,,39.51,22,6.76,,15.07,57.37,49.27,24.4,53.43,35.1,13.74,,22.64,874.44,73.6,,,,,93.93,60.08,18.09
Congo,1998,34.2,49.19,1,4,0.02,110.9,0,62.7,70.3,8.2,7.1,440,2.1,-1,2.15,57000,,0,,0,,6.07,31.64,1.95,0.48,0.49,2.4,5.35,,,91.77,21.8,,,,,,,
Ecuador,1998,59.3,72.31,6,3,2.02,30.7,0.13,43.4,47.3,5.5,3.16,5820,24,16.38,0.66,2200,,12.68,23,35.27,17.4,18.2,57.3,32.68,30.62,50,49.52,,,,688.51,67.2,,,5.56,,96.46,,15.66
Georgia,1998,53.1,71,6,1,1.23,34.5,0.1,53.6,58,12.4,1.69,2470,27.17,6.52,5.48,500,,25.85,,7.25,6.9,8.93,49.54,27.32,6.7,28.92,35.58,7.24,,,1435.38,96.9,,,,,,5,15.72
Ghana,1998,42.4,57.02,3,4,0.23,68.4,0.03,80.6,72.1,8.2,4.79,1640,23.11,10.25,9.57,34000,,53.66,33,35.75,9,10.04,31.54,50.24,35.89,38.24,37.5,,,,276.2,9.6,,,18.54,,,,33.85
Haiti,1998,34.4,57.17,1,5,0.12,79.9,0.02,36.5,57,10.9,4.55,1330,26,9.28,10.9,30000,,3.41,,16.43,3.6,,,5.85,4.31,18.14,26.44,,,,36.57,20.3,,,,,,,
Honduras,1998,44.4,69.96,3,5,0.58,36.8,0.3,100.5,42.4,4,4.27,2560,30.93,23.27,6.34,2200,,21.95,17,42.03,9.4,18.62,50.19,31.22,18.18,49.51,46.63,,,13.54,460.6,60.3,,,8.83,,,,25.93
India,1998,27.2,61.81,3,7,0.12,70.9,0.14,23.3,34.5,4.1,3.45,1750,23.51,21.88,0.38,280000,,43.9,29,14.01,8.1,15,48.47,54.15,60.29,32.84,57.21,7.97,,,387.03,23.7,,,,,,4.47,42.41
Indonesia,1998,39.6,65.83,3,2,0.53,44.7,0.26,96.2,49.7,5.5,2.53,4070,16.77,26.53,1.39,7400,,9.76,20,6.28,11.4,25,36.69,29.27,27.75,36.76,17.31,15.03,,13.36,331.07,44.7,,,23.13,,,,65.32
Jordan,1998,79.2,71.43,6,2,1.78,24.3,1.31,109.2,12.4,12.5,4.27,5560,21.82,2.34,5.31,,,60,47,42.51,0,15.72,70.49,58.54,61.72,65.69,38.94,18.13,,,1308.28,97.7,,,,,,,
Kazakhstan,1998,56,64.56,6,2,0.2,41.1,0.13,65.2,64,13.1,1.8,6560,20.46,15.95,1.02,1000,,17.07,,47.34,13.4,12.78,59.71,20,16.27,34.8,27.88,7.29,,,2948.78,96.7,,,7.65,,,16.58,8.01
Kenya,1998,19.2,51.64,3,4,0.04,69.9,0.05,48.9,64.5,9.8,5.06,1670,16.69,8.13,2.97,120000,,12.2,25,16.91,3.6,12.3,51.27,34.15,13.88,35.29,20.67,15.06,,,128.97,26.4,,,14.82,,,,23.01
Lebanon,1998,85.8,73.46,6,2,16.23,19,2.72,54.7,18.9,8.3,2.39,9940,28.4,1.21,1.96,100,,45.37,,19.32,2.3,14.11,66.21,56.1,42.58,41.18,38.46,12.63,,,3031.19,82.7,,,13.86,,99.79,,
Mali,1998,26.9,48.19,1,4,0.05,121,0.02,50.2,36.6,8.5,6.95,1090,19.8,12.13,12.08,8500,,32.2,,57.97,12.2,,41.01,13.66,33.49,39.71,44.71,,,1.43,,17.1,,,,,,,68.03
Mexico,1998,74.2,73.75,6,5,3.33,24.3,1.27,51.8,39.6,3.6,2.86,9020,21.65,21.37,0,10000,,40.98,33,28.02,17.4,21.22,61.99,66.34,32.06,61.27,50,8.55,,16.76,1571.85,73.1,,,18.28,,95.51,14.08,14.29
Mongolia,1998,56.7,62.08,3,2,0.38,53.8,0.15,107.4,55.5,6.2,2.31,3470,30.47,18.8,18.11,100,,47.8,,56.04,7.9,7.66,40.45,45.37,51.67,48.53,63.94,8.36,,21.18,1068.52,47,,,3.56,,88.81,,26.92
Pakistan,1998,32.6,62.27,3,2,0.14,91.4,0.04,34,15.2,5.7,4.89,2570,17.71,16.67,1.72,1200,,15.61,27,13.53,2.3,15.85,48.89,36.1,24.88,27.94,30.77,12.83,,,344.88,33.2,,,8.71,,,7.43,23.44
Panama,1998,60.6,74.72,6,5,2.93,22.7,2.75,151.3,44.7,14,2.78,7540,41.14,25.17,0.19,1000,,54.63,,55.56,9.7,12.87,71.76,66.83,45.93,76.96,62.02,10.17,,36.31,1180.88,65.3,,,32.98,,,9.88,15.16
Papua New Guinea,1998,13.5,58.19,3,6,0.11,59.3,0.23,102.9,70.3,2.7,4.6,1400,17.91,23.13,10.26,3900,,19.51,,36.23,1.8,9.75,31.51,32.2,28.71,25.98,51.92,20.48,,1.9,,19.4,,,,,,,15.99
Peru,1998,72.2,69.54,6,3,2.95,34.3,1.19,33,58.2,4.9,3.06,4750,23.2,17.66,0.93,5000,,49.76,45,26.09,10.8,16.45,59.22,60.98,29.19,72.55,32.21,14.23,,,642.15,61,,,17.78,,99.78,,16.74
Philippines,1998,48.1,66.44,3,2,2.33,31.1,1.1,98.7,49.7,9.4,3.89,3580,23.39,14.25,0.74,500,,55.12,33,32.85,12.4,23.46,50.85,57.07,52.15,62.75,60.1,14.11,,27.47,478.58,62.5,,,48.88,,91.81,7.99,17.91
Russia,1998,73.4,66.78,6,7,0.51,21.1,0.81,55.8,50,13.3,1.24,5220,14.96,21.63,,,,17.56,,14.98,10.2,,57.03,21.95,18.66,30.39,34.13,,,48.36,4848.03,72.5,,,,,,,1.7
Rwanda,1998,13.2,43.42,1,4,0.07,121.4,0.01,28.8,85.9,0.6,5.83,590,14.81,-2.82,17.77,18000,,25.37,,3.86,17.1,11.23,35.78,16.1,4.78,13.73,11.54,,,,,44.2,,,,,,,75.15
Senegal,1998,40.1,57.36,1,4,0.29,70.9,0.08,62,63.8,9.1,5.73,1380,15.52,8.95,10.07,5700,,50.73,33,15.94,12.1,16.01,56.94,51.71,50.72,43.63,47.12,14.79,,,121.66,39.3,,,,,55.98,,52.79
South Africa,1998,55.9,58.44,6,7,7.66,52.2,2.91,48.9,47.7,25,2.94,7000,17.99,19.1,0.38,850000,,75.61,52,27.05,28.8,19.6,63.86,74.63,55.98,59.31,73.08,24.39,,,4802.9,55.8,,,122.33,,94.65,57.74,33.21
Sri Lanka,1998,18.5,69.85,3,2,0.94,15.3,0.3,78.5,41.6,9.1,2.24,3840,25.14,19.13,2.73,100,,51.71,,9.66,5.3,,,36.59,53.11,58.82,43.27,14.48,,,251.07,79.1,,,,,,,8.58
Tunisia,1998,62.7,72.05,3,4,0.42,29.9,0.11,80,23.7,17.3,2.23,5100,24.92,21.98,0.72,100,,57.56,50,52.66,7.4,18.8,58.94,72.68,46.89,50.49,29.33,19.18,,15.27,868.18,80.3,,,9.97,,,,7.53
Venezuela,1998,87.3,71.81,6,3,8.56,20,1.38,43.6,47.8,11,2.92,11400,30.66,28.9,0.05,7200,,16.1,23,26.57,5.9,20.83,50.16,19.02,22.97,40.2,48.08,12.7,,,2638.75,87.1,,,8.30,,,19.42,11.44
Vietnam,1998,23.4,72.66,3,2,0.28,27.9,0.01,97,73.3,2.3,2.21,1830,29.05,21.75,4.41,22000,,40,25,54.11,26.2,17.15,41.73,41.95,39.23,24.02,9.13,16.33,,9.64,241.17,49.5,,,,,99.13,,34.79
Albania,1999,41.2,73.79,6,1,0.33,24.4,0.08,48,51.8,16,2.25,3770,22.99,6.59,13.98,4,,,23,,5.2,6.76,58.91,,,,,,,14.81,1404.41,82.6,,,,,97.31,16.14,1.73
Bangladesh,1999,23.2,64.72,3,2,0.11,67.4,0.04,28.4,55,3.1,3.27,1270,22.72,17.85,2.31,500,,,,,9.1,15.11,52.71,,,,,,,5.46,94.48,44.3,,,3.05,,,,34
Bolivia,1999,61.4,60.12,3,3,5.05,61.4,0.98,44.2,59.7,4.3,4.15,3320,18.77,8.37,7.15,1100,,,25,,11.5,15.49,56.25,,,,,12.04,,31.09,421.99,36.8,,,8.32,,95.42,,25.3
Brazil,1999,80.5,69.59,6,7,8.74,30.2,2.04,21,55.1,9.6,2.4,8100,17.39,15.54,0.02,38000,,,41,,5.7,14.21,69.52,,,,,13.17,,16.08,1823.55,73.9,,,,,98.07,,13.36
Burundi,1999,8,51.15,1,4,0.01,95.7,0.04,23.5,85.1,7.3,7.11,560,5.88,-2.5,9.4,14000,,,,,6,11.37,35.9,,,,,13.6,,0.99,,44,,,,,,,83.31
Central African Republic,1999,37.6,44.94,1,4,0.12,114.2,0.04,43.2,70.5,6.9,5.49,660,12.96,8.2,11.91,18000,,,,,7.3,6.22,33.84,,,,,,,1.89,,16.9,,,,,,,71.29
China,1999,34.9,71.3,6,7,3.4,31.9,0.71,34,71.1,4.7,1.45,2630,34.96,38.28,0.22,,,,34,,21.8,31.28,38.57,,,,,,,6.51,913.96,57.7,,,,,,,40.54
Colombia,1999,71.8,70.7,6,3,5.01,21.9,1.7,36.1,46,14.8,2.43,6150,12.88,13.42,0.36,7200,,,29,,11.8,14.78,57.44,,,,,13.48,,22.17,810.69,74.1,,,,,96.34,62.29,19.32
Congo,1999,34.7,49.52,1,4,0.03,109.3,0,41.2,70.6,8.2,7.08,400,3.07,9.16,3.13,58000,,,,,,5.05,28.47,,,,,3.46,,1.46,93.78,22.2,,,,,35.37,,
Ecuador,1999,59.8,72.64,6,3,3.12,29.5,0.82,49.2,49,6.3,3.09,5380,19.63,23.18,0.81,2200,,,24,,17.4,19.19,54.65,,,,,,,,637,68.5,,,2.66,,96.26,,21.82
Georgia,1999,52.9,71.31,6,1,2.77,32.9,0.42,57.2,57.8,13.8,1.64,2600,26.45,7.41,8.3,500,,,23,,,8.76,51.23,,,,,7.9,,35.72,1460.08,96.3,,,,,,5.08,19.9
Ghana,1999,43.2,56.95,3,4,0.38,66.7,0.1,81.7,72.4,10.1,4.73,1700,21,3.45,8.04,31000,,,33,,9,10.07,31.71,,,,,,,,362.86,10,,,11.92,,62.09,,32.63
Haiti,1999,35,57.43,1,5,0.3,77.4,0.07,41.9,56.9,7.2,4.43,1360,27.7,10.25,6.32,29000,,,,,3.6,,,,,,,,,,38.79,20.7,,,,,,,
Honduras,1999,45,70.25,3,5,1.29,31.8,0.57,97,46,3.9,4.13,2520,34.67,19.72,15.66,1900,,,18,,9.4,19.6,51.71,,,,,,,13.31,465.28,61.8,,,,,,42.08,26.45
India,1999,27.5,62.23,3,7,0.18,68.6,0.27,24.4,34.2,4.4,3.38,1900,26.82,24.95,0.32,270000,,,29,,8.4,14.6,50.27,,,,,8.49,,,393.21,24.6,,,,,,4.23,41.71
Indonesia,1999,40.8,66.05,3,2,1.08,42.9,0.44,62.9,50.8,6.3,2.5,4020,11.37,19.45,1.64,10000,,,17,,,25.99,37.03,,,,,16.32,,14.75,356.97,45.9,,,45.75,,,,39.99
Jordan,1999,79.5,71.61,6,2,2.52,23.8,2.53,104.6,12.5,11.5,4.16,5740,21.57,3.7,5.43,,,,44,,0,15.64,71.7,,,,,18.11,,,1340.96,97.8,,,,,97.66,,
Kazakhstan,1999,55.9,65.52,6,2,0.34,39.4,0.46,82.6,64.4,13.5,1.7,6770,13.7,16.05,1.07,1000,,,23,,10.8,14.93,54.59,,,,,7.75,,24.44,2838.34,96.7,,,,,,15.74,8.84
Kenya,1999,19.6,51.07,3,4,0.08,68.4,0.11,48.2,63.8,9.8,5.03,1680,15.52,8.99,2.44,98000,,,20,,3.6,11.43,50.81,,,,,16.15,,,119.63,26.7,,,,,62.89,,24.52
Lebanon,1999,85.9,73.94,6,2,19.86,18.1,5.38,50.8,19,8.6,2.31,9940,22.83,0.14,1.1,100,,,,,2.3,13.71,68.29,,,,,13.37,,37.67,2996.84,82.7,,,10.88,,,,
Mali,1999,27.6,48.49,1,4,0.06,118.9,0.06,50,36.5,8.2,6.92,1140,17.89,8.37,10.44,8600,,,,,12.2,,40.97,,,,,,,1.87,,17.5,,,,,43.75,,64.66
Mexico,1999,74.4,74.04,6,5,7.56,22.9,1.86,51.3,38.8,2.5,2.8,9500,21.92,21.62,0.01,9700,,,34,,18.2,20.68,61.98,,,,,8.92,,17.87,1610.95,73.9,,,26.58,,98.25,12.43,12.65
Mongolia,1999,56.6,62.48,3,2,1.45,51,0.51,112.2,55.7,6.2,2.22,3600,31.69,19.76,21.02,100,,,43,,7.9,7.71,40.77,,,,,9.81,,26.91,1042.44,47.5,,,3.04,,90.71,,22.83
Pakistan,1999,32.9,62.52,3,2,0.19,89.5,0.06,32.3,15.5,6.1,4.73,2640,15.56,13.95,1.19,1400,,,22,,,15.48,49.23,,,,,13.17,,,356.82,35,,,11.13,,,6.61,25.17
Panama,1999,61.5,74.91,6,5,7.78,22.3,3.84,126.7,44.4,11.8,2.74,7700,38.99,26.01,0.12,1000,,,,,,12.63,70.95,,,,,10.43,,38.23,1219.45,66.1,,,28.71,,93.36,9.83,13.39
Papua New Guinea,1999,13.4,58.48,3,6,0.13,58.8,0.67,116,70.5,2.8,4.57,1390,16.37,26.6,6.77,4200,,,,,1.8,8.7,26.83,,,,,21.79,,1.89,,19.3,,,,,,,18.11
Peru,1999,72.6,70.03,6,3,3.96,31.8,1.95,33.2,61.1,6.3,2.99,4820,20.66,18.25,0.92,5100,,,45,,10.8,16.15,59.43,,,,,12.99,,39.02,655.13,62,,,24.09,,99.97,,17.63
Philippines,1999,48.1,66.56,3,2,3.75,30.5,1.43,94.9,50.2,9.4,3.85,3650,18.96,15.03,0.73,500,,,36,,12.4,23.47,51.73,,,,,13.31,,28.74,467.69,63.2,,,50.82,,88.94,7.54,18.16
Russia,1999,73.4,66.04,6,7,0.93,20.5,1.02,69.4,54,13,1.17,5680,14.83,31.88,,,,,24,,,,55.45,,,,,11.24,,51.85,4998.84,72.5,,,,,,,3.4
Rwanda,1999,14.1,46.23,1,4,0.14,115.2,0.07,30.7,85.9,0.6,5.73,600,13.15,-5.15,20.65,18000,,,,,17.1,7.54,48.04,,,,,,,0.83,,45.4,,,,,78.73,,76.06
Senegal,1999,40.2,57.51,1,4,0.91,70,0.31,63.1,63.7,8.9,5.64,1450,17.89,10.9,10.59,6200,,,34,,12.1,15.88,57.54,,,,,15.51,,3.35,117.7,39.8,,,,,54.76,,51.61
South Africa,1999,56.4,57.16,6,7,11.74,53.2,4.12,46.9,48.8,25.4,2.9,7160,17.04,19.56,0.41,840000,,,50,,30,18.74,65.09,,,,,24.13,,,4618.36,56.5,,,190.10,,94.86,51.21,32.9
Sri Lanka,1999,18.5,70.4,3,2,1.37,14.6,0.35,78.8,37.9,8.9,2.24,4030,27.29,19.51,1.7,200,,,,,4.9,,,,,,,15.01,,,264.89,80.1,,,10.12,,,,8.49
Tunisia,1999,63,72.5,3,4,0.58,28.1,1.6,77.9,23.7,16,2.09,5440,24.62,22.67,1.14,100,,,50,,11.5,18.64,58.58,,,,,19.13,,16.91,947.45,81.1,,,,,94.34,,6.42
Venezuela,1999,87.6,72.09,6,3,15.81,20.2,2.84,42.1,48.8,14.5,2.87,10820,26.52,30.27,0.05,7200,,,26,,12.1,19.22,49.72,,,,,13.49,,,2571.54,87.7,,,7.61,,84.98,24.99,10.16
Vietnam,1999,23.8,72.91,3,2,0.41,27,0.13,102.8,73.2,2.3,2.1,1920,27.63,24.77,5.05,25000,,,26,,26,17.69,40.07,,,,,16.23,,10.59,261.37,51.2,,,,,98.35,,35.78
Albania,2000,41.7,74.27,6,1,0.9,23.2,0.11,55.9,51.4,13.5,2.16,4140,31.73,11.55,8.5,10,23,21.95,,26.57,5.2,7.2,56.8,20,10.53,38.73,40.38,,,15.6,1436.7,83.4,,,,,95.89,,1.94
Bangladesh,2000,23.6,65.35,3,2,0.21,64.4,0.07,29.3,54.2,3.3,3.17,1350,23.81,19.18,2.13,500,225,15.61,,23.67,9.1,14.69,52.91,32.2,20.1,18.63,40.87,,,5.45,101.72,45.4,,,4.11,,,2.5,33.74
Bolivia,2000,61.8,60.69,3,3,6.86,58.8,1.44,45.6,59.7,4.8,4.06,3400,18.14,9.1,5.89,1100,184,45.85,27,34.78,11.5,15.33,55.2,43.41,38.76,55.88,50.48,12.33,,33.56,419.81,37.7,,,20.74,,96.12,,29.67
Brazil,2000,81.2,70.04,6,7,13.29,28.1,2.87,22.6,54.9,9.5,2.36,8570,18.9,16.64,0.04,39000,51,59.51,39,53.14,5.7,15.27,67.73,58.05,42.58,64.22,52.4,13.77,,,1886.6,74.7,,,34.50,,,,13.49
Burundi,2000,8.2,51.49,1,4,0.24,93.4,0.08,22.6,84.8,7.3,7.06,570,2.78,-7.13,10.52,13000,290,9.76,,1.45,14.4,11.88,35.01,4.88,2.87,12.25,4.33,,,1.16,,44.3,,,,,40.66,,82.5
Central African Republic,2000,37.6,44.6,1,4,0.14,113.6,0.05,45.7,70.5,7,5.45,650,11.07,6.16,8.35,16000,1073,5.37,,12.56,7.3,6.16,33.27,5.37,3.83,17.16,27.4,,,1.86,,17.2,,,,,,,69.66
China,2000,35.9,71.73,6,7,6.66,30.2,1.78,39.8,70.7,4.5,1.45,2900,34.43,37.15,0.14,,109,51.22,31,35.27,21.8,31.78,39.79,53.66,35.89,36.27,11.54,,,7.72,993.43,58.8,,,,,,,37.67
Colombia,2000,72.1,70.99,6,3,5.66,21.2,2.21,32.7,48.5,16.6,2.39,6440,14.9,14.06,0.19,7600,36,42.44,32,8.21,11.8,15.01,61.63,44.39,18.66,56.37,31.25,11.22,,23.19,829.4,74.6,,,,,97.54,65.7,16.2
Congo,2000,35.1,50,1,4,0.03,107.4,0.01,27,71,8.2,7.05,400,14.43,10.32,0.95,56000,327,1.46,,0,,10.02,45.01,0.98,0.96,1.96,2.4,0.78,,,94.67,22.7,,,,,,,
Ecuador,2000,60.3,72.94,6,3,3.85,28.4,1.46,59.5,49.9,7.2,3.03,5400,21.28,26.07,0.86,2200,99,10.24,26,26.09,14.6,19.42,48.01,20.98,30.14,29.9,35.58,,,,637.52,69.7,,,4.08,,96.99,14.5,28.15
Georgia,2000,52.6,71.62,6,1,4.11,31.2,0.48,62.7,54.7,10.8,1.61,2690,26.58,9.91,5.33,500,254,20,,18.36,7.2,9.1,55.71,25.37,13.88,33.82,41.35,7.65,,37.8,1452.82,95.7,,,0.79,,,5,20.99
Ghana,2000,43.9,56.99,3,4,0.69,64.9,0.15,116,72.7,10.4,4.67,1750,24,5.55,12.37,30000,216,58.05,35,31.4,,10.08,32.2,57.56,54.55,49.02,49.52,,,,334.02,10.3,,,10.03,,65.62,,31.39
Haiti,2000,35.6,57.68,1,5,0.64,75,0.23,46.1,56.9,7.4,4.3,1380,27.34,6.62,5.24,26000,270,4.88,,24.64,,,,3.9,2.39,15.2,22.12,,,,35.44,21,,,,,,,
Honduras,2000,45.5,70.49,3,5,2.49,30.5,1.2,120.4,44.4,3.9,3.99,2670,28.29,15.84,6.51,1600,114,19.51,,37.2,9.4,22.69,51.66,33.66,18.18,37.25,46.63,,,13.82,514.33,63.3,,,891.09,,88.51,50.9,26.97
India,2000,27.7,62.63,3,7,0.34,66.4,0.53,26.4,33.9,4.3,3.31,1980,24.11,23.22,0.29,250000,289,46.34,28,17.87,9,15.31,50.98,51.22,59.81,42.65,56.25,8.66,,9.55,394.8,25.6,,,,,84.14,4.5,41.01
Indonesia,2000,42,66.25,3,2,1.76,41.1,0.93,71.4,50.3,6.1,2.48,4190,22.25,32.76,1.1,14000,449,19.02,17,3.38,8,27.75,38.47,44.88,28.71,41.67,34.13,,,14.88,390.37,47.1,,,16.25,,,1,39.75
Jordan,2000,79.8,71.78,6,2,8.16,23.2,2.62,110.4,12.6,13.7,4.06,6210,22.37,-4.31,6.46,,8,60.49,46,40.1,0,15.66,72.11,56.1,62.68,60.78,46.15,19,,28.32,1385.64,97.8,,,,,98.94,,
Kazakhstan,2000,55.7,65.52,6,2,1.35,37.5,0.67,105.7,64.8,12.8,1.8,7350,18.14,25.64,1.11,1000,177,8.29,30,45.41,10.4,17.66,50.85,25.85,16.27,26.96,20.67,10.22,,31.75,3169.52,96.8,,,,,94.13,15.5,9.67
Kenya,2000,19.9,50.79,3,4,0.41,66.5,0.32,53.3,63.1,9.8,5.01,1690,17.41,7.28,4.08,80000,286,14.15,21,14.98,3.6,11.62,50.72,34.63,22.97,36.76,21.63,16.83,,2.75,107.42,26.9,,,9.88,,66.03,,26.03
Lebanon,2000,86,74.43,6,2,22.96,17.1,7.95,50.1,19.2,8.9,2.23,10120,20.41,-1.35,1.14,100,20,41.46,,28.99,2.3,13.01,70.13,50.73,47.85,34.8,42.31,11.9,,38.31,2985.43,82.7,,,9.00,,,,
Mali,2000,28.4,48.9,1,4,0.1,116,0.14,55.4,36.6,8.3,6.9,1140,17.18,6.71,9.85,8400,77,29.27,,51.21,12.2,,40.64,16.59,37.32,49.51,48.08,10.79,,1.92,,18,,,,,,,61.29
Mexico,2000,74.7,74.3,6,5,13.55,21.6,5.08,53.1,39.1,2.6,2.75,10090,22.51,21.93,-0.01,9500,29,50.73,33,36.71,16,20.3,61.61,61.95,37.8,62.25,55.29,9.91,,19.07,1717.44,74.7,,,18.31,,98.58,10.4,11
Mongolia,2000,57.1,62.91,3,2,6.45,48.2,1.26,121.9,55.8,6.1,2.14,3670,29.01,15.12,19.17,100,428,41.95,,71.98,10.5,7.55,44.13,43.9,48.8,50,58.65,13.91,,30.18,1053.62,48.2,,,3.25,,92.86,,18.74
Pakistan,2000,33.2,62.77,3,2,0.21,87.7,,28.1,16,7.2,4.58,2740,17.23,15.98,0.96,1600,275,22.44,,14.49,,14.68,50.74,31.22,19.62,21.08,11.06,10.09,,,373.13,36.9,,,8.96,,,6.4,26.91
Panama,2000,62.2,75.1,6,5,13.43,21.9,6.55,134,45,13.5,2.71,8060,36.49,26.52,0.13,1000,48,43.41,,52.66,9.9,11.64,71.65,62.44,44.5,69.12,65.87,9.64,,41.34,1267.19,66.8,,,22.71,,95.23,9.9,14.68
Papua New Guinea,2000,13.2,58.8,3,6,0.16,58.3,0.84,115.4,70.8,2.9,4.53,1380,21.89,38.83,8.33,4600,432,23.41,,34.3,1.8,7.55,22.81,40,23.92,30.39,49.04,18.98,,,,19.2,,,,,,8.7,20.23
Peru,2000,73,70.51,6,3,4.9,29.6,3.08,35.5,57.6,6.4,2.93,4980,19.63,17.63,0.8,5100,186,39.02,44,15.46,,16.7,59.29,52.68,29.67,66.67,38.46,12.61,,34.6,680.19,62.9,,,18.84,,99.95,5,16.7
Philippines,2000,48,66.68,3,2,8.31,29.9,1.98,104.7,48.7,11.2,3.81,3930,18.37,16.38,0.6,1000,368,40,28,11.11,11.3,24.47,51.58,50.24,38.28,56.86,53.37,12.85,,,499.73,63.8,,,32.06,,,7.4,18.41
Russia,2000,73.4,65.34,6,7,2.22,19.7,1.98,68.1,54.1,10.6,1.21,6650,18.69,38.72,,,128,16.59,21,10.14,7.7,,55.62,23.41,13.4,27.94,37.02,13.73,,55.78,5198.42,72.5,,,,,,,2.25
Rwanda,2000,14.9,48.19,1,4,0.46,109.2,0.06,31.2,86,0.6,5.64,630,13.38,-5.18,18.7,16000,98,30.73,,5.31,25.7,6.97,49.23,27.8,7.66,13.73,7.21,,,1.28,,46.6,,,,,,,76.97
Senegal,2000,40.3,57.77,1,4,2.54,68.5,0.4,65.1,63.9,10.4,5.55,1490,20.46,11.17,9.4,6600,155,57.07,35,25.12,12.1,14.65,57.63,51.71,52.15,46.08,51.44,16.13,,,101.92,40.3,,,,,57.83,,50.43
South Africa,2000,56.9,55.84,6,7,18.59,54,5.35,51.4,49.6,26.7,2.87,7520,16.37,19.25,0.37,790000,585,73.17,50,35.75,29.8,19.17,64.82,75.61,55.02,64.71,70.19,23.34,,,4680.68,57.2,,,149.82,,91.8,48.5,32.59
Sri Lanka,2000,18.4,71.11,3,2,2.28,14,0.65,88.6,37.3,7.7,2.24,4340,28.04,17.43,1.72,200,66,49.27,,4.83,,,,42.44,56.94,60.29,42.79,14.5,,,296.76,81.2,,,6.58,,,,8.4
