Country,Year,Life Expectancy,GNI per capita,World Bank Classification,Gross Domestic Product (PPP),Region,Sub-region,ISO
Iceland,1990,78.03634,24700,5,5640000000,Europe,Northern Europe,ISL
India,1990,57.94373,390,1,998000000000,Asia,Southern Asia,IND
Indonesia,1990,63.2599,620,1,525000000000,Asia,South-eastern Asia,IDN
Iran,1990,63.88288,2560,2,369000000000,Asia,Southern Asia,IRN
Iraq,1990,66.24034,7020,3,130000000000,Asia,Western Asia,IRQ
Ireland,1990,74.74132,12600,5,48300000000,Europe,Northern Europe,IRL
Isle of Man,1990,,,,,Europe,Northern Europe,IMN
Israel,1990,76.60732,10900,4,62400000000,Asia,Western Asia,ISR
Italy,1990,76.97073,18600,5,1050000000000,Europe,Southern Europe,ITA
Jamaica,1990,72.01598,1790,2,11416492149,Americas,Caribbean,JAM
Japan,1990,78.83683,27600,5,2380000000000,Asia,Eastern Asia,JPN
Jordan,1990,69.92085,1350,2,14500000000,Asia,Western Asia,JOR
Kazakhstan,1990,68.33659,,,138000000000,Asia,Central Asia,KAZ
Kenya,1990,58.80205,380,1,36000000000,Africa,Eastern Africa,KEN
Kiribati,1990,60.35083,720,2,91800000,Oceania,Micronesia,KIR
North Korea,1990,69.34432,,2,,Asia,Eastern Asia,PRK
South Korea,1990,71.29976,6480,3,362000000000,Asia,Eastern Asia,KOR
Kosovo,1990,67.74878,,,,Europe,Southern Europe,XKX
Kuwait,1990,72.28156,,4,,Asia,Western Asia,KWT
Kyrgyz Republic,1990,68.29756,,,9860000000,Asia,Central Asia,KGZ
Lao PDR,1990,53.55207,190,1,4440000000,Asia,South-eastern Asia,LAO
Latvia,1990,69.27317,,,,Europe,Northern Europe,LVA
Lebanon,1990,70.22115,1360,2,13700000000,Asia,Western Asia,LBN
Lesotho,1990,59.3311,580,1,1410000000,Africa,Southern Africa,LSO
Liberia,1990,47.20244,,1,,Africa,Western Africa,LBR
Libya,1990,68.6299,,3,,Africa,Northern Africa,LBY
Liechtenstein,1990,,45500,,,Europe,Western Europe,LIE
Lithuania,1990,71.16073,,,,Europe,Northern Europe,LTU
Luxembourg,1990,75.01041,28600,5,11800000000,Europe,Western Europe,LUX
Macao,1990,75.27698,8530,3,8000000000,Asia,Eastern Asia,MAC
"Macedonia, FYR",1990,71.14763,,,10500000000,Europe,Southern Europe,MKD
Madagascar,1990,51.0081,240,1,12400000000,Africa,Eastern Africa,MDG
Malawi,1990,43.76602,180,1,4540000000,Africa,Eastern Africa,MWI
Malaysia,1990,70.75749,2370,2,123000000000,Asia,South-eastern Asia,MYS
Maldives,1990,61.41851,,1,,Asia,Southern Asia,MDV
Mali,1990,46.46471,290,1,6960000000,Africa,Western Africa,MLI
Malta,1990,75.17578,7600,3,3310000000,Europe,Southern Europe,MLT
Marshall Islands,1990,,,,88200000,Oceania,Micronesia,MHL
Mauritania,1990,58.3588,490,1,3680000000,Africa,Western Africa,MRT
Mauritius,1990,69.40488,2440,2,5050000000,Africa,Eastern Africa,MUS
Mexico,1990,70.79573,2750,3,515000000000,Americas,Central America,MEX
"Micronesia, Fed. Sts.",1990,66.19759,,,172000000,Oceania,Micronesia,FSM
Moldova,1990,67.46566,,,,Europe,Eastern Europe,MDA
Monaco,1990,,79600,,,Europe,Western Europe,MCO
Mongolia,1990,60.26776,1430,2,7230000000,Asia,Eastern Asia,MNG
Montenegro,1990,74.44337,,,,Europe,Southern Europe,MNE
Morocco,1990,64.68049,1150,2,63455192137,Africa,Northern Africa,MAR
Mozambique,1990,43.1259,180,1,3240000000,Africa,Eastern Africa,MOZ
Myanmar,1990,58.69417,,1,19500000000,Asia,South-eastern Asia,MMR
Namibia,1990,61.22495,2020,2,5230000000,Africa,Southern Africa,NAM
Nauru,1990,,,,,Oceania,Micronesia,NRU
Nepal,1990,54.19473,210,1,14500000000,Asia,Southern Asia,NPL
Netherlands,1990,76.87805,20100,5,283000000000,Europe,Western Europe,NLD
New Caledonia,1990,70.48537,14800,3,,Oceania,Melanesia,NCL
New Zealand,1990,75.37805,13600,5,49500000000,Oceania,Australia and New Zealand,NZL
Nicaragua,1990,64.135,310,2,8090000000,Americas,Central America,NIC
Niger,1990,43.9512,300,1,4630000000,Africa,Western Africa,NER
Nigeria,1990,46.11027,290,1,187000000000,Africa,Western Africa,NGA
Northern Mariana Islands,1990,,,,,Oceania,Micronesia,MNP
Norway,1990,76.53732,26510,5,78175913424,Europe,Northern Europe,NOR
Oman,1990,67.26773,5710,3,41000000000,Asia,Western Asia,OMN
Pakistan,1990,60.11122,420,1,213000000000,Asia,Southern Asia,PAK
Palau,1990,69.06927,,,,Oceania,Micronesia,PLW
Panama,1990,73.04624,2660,2,12500000000,Americas,Central America,PAN
Papua New Guinea,1990,55.70934,820,2,4320000000,Oceania,Melanesia,PNG
Paraguay,1990,68.01261,,2,16400000000,Americas,South America,PRY
