Country,Year,Life Expectancy,GNI per capita,World Bank Classification,Gross Domestic Product (PPP),Region,Sub-region,ISO
Cayman Islands,1997,,,4,,Americas,Caribbean,CYM
Central African Republic,1997,45.84637,290,1,2200000000,Africa,Middle Africa,CAF
Chad,1997,47.53361,210,1,5940000000,Africa,Middle Africa,TCD
Channel Islands,1997,76.827,,4,,Europe,Western Europe,CHI
Chile,1997,75.64637,5480,3,126000000000,Americas,South America,CHL
China,1997,70.52268,750,6,2800000000000,Asia,Eastern Asia,CHN
Colombia,1997,70.075,2590,2,252000000000,Americas,South America,COL
Comoros,1997,59.13559,460,1,530000000,Africa,Eastern Africa,COM
"Congo, Dem. Rep.",1997,49.02446,120,1,21500000000,Africa,Middle Africa,COD
"Congo, Rep.",1997,51.2022,590,1,10000000000,Africa,Middle Africa,COG
Costa Rica,1997,76.92241,3330,2,25400000000,Americas,Central America,CRI
Cote d'Ivoire,1997,48.07505,760,1,35600000000,Africa,Western Africa,CIV
Croatia,1997,72.49512,5470,3,42800000000,Europe,Southern Europe,HRV
Cuba,1997,75.94198,2500,2,84100000000,Americas,Caribbean,CUB
Curacao,1997,,,,,Americas,Caribbean,CUW
Cyprus,1997,77.56102,14600,4,12000000000,Asia,Western Asia,CYP
Czech Republic,1997,73.82488,6110,3,151000000000,Europe,Eastern Europe,CZE
Denmark,1997,75.94512,35300,5,132000000000,Europe,Northern Europe,DNK
Djibouti,1997,57.0112,740,2,1120000000,Africa,Eastern Africa,DJI
Dominica,1997,75.95122,3190,2,405000000,Americas,Caribbean,DMA
Dominican Republic,1997,70.09173,2300,2,42700000000,Americas,Caribbean,DOM
Ecuador,1997,71.96432,2190,2,70841032129,Americas,South America,ECU
"Egypt, Arab Rep.",1997,67.66407,1130,2,335000000000,Africa,Northern Africa,EGY
El Salvador,1997,67.87363,1860,2,25700000000,Americas,Central America,SLV
Equatorial Guinea,1997,51.13959,970,2,2720000000,Africa,Middle Africa,GNQ
Eritrea,1997,54.00961,220,1,4360000000,Africa,Eastern Africa,ERI
Estonia,1997,69.80976,,3,11000000000,Europe,Northern Europe,EST
Ethiopia,1997,50.31805,140,1,28800000000,Africa,Eastern Africa,ETH
Faroe Islands,1997,77.82195,,4,,Europe,Northern Europe,FRO
Fiji,1997,67.03756,2580,2,3770000000,Oceania,Melanesia,FJI
Finland,1997,76.87854,26700,5,112000000000,Europe,Northern Europe,FIN
France,1997,78.30488,27100,5,1340000000000,Europe,Western Europe,FRA
French Polynesia,1997,71.33905,17500,4,,Oceania,Polynesia,PYF
Gabon,1997,60.30302,4260,3,17900000000,Africa,Middle Africa,GAB
"Gambia, The",1997,54.21049,730,1,1250000000,Africa,Western Africa,GMB
Georgia,1997,70.71473,790,2,10100000000,Asia,Western Asia,GEO
Germany,1997,77.07317,30200,5,2020000000000,Europe,Western Europe,DEU
Ghana,1997,57.16424,400,1,28501368103,Africa,Western Africa,GHA
Gibraltar,1997,,,,,Europe,Southern Europe,GIB
Greece,1997,78.13659,14100,5,183000000000,Europe,Southern Europe,GRC
Greenland,1997,65.79805,20500,4,,Americas,Northern America,GRL
Grenada,1997,69.66163,2870,3,620000000,Americas,Caribbean,GRD
Guam,1997,74.034,,4,,Oceania,Micronesia,GUM
Guatemala,1997,66.0959,1520,2,47300000000,Americas,Central America,GTM
Guinea,1997,51.60934,470,1,6820000000,Africa,Western Africa,GIN
Guinea-Bissau,1997,50.9621,220,1,1670000000,Africa,Western Africa,GNB
Guyana,1997,64.5328,910,2,2570000000,Americas,South America,GUY
Haiti,1997,56.8929,,1,10600000000,Americas,Caribbean,HTI
Honduras,1997,69.63071,720,1,15359849531,Americas,Central America,HND
Hong Kong,1997,80.12683,25900,4,165000000000,Asia,Eastern Asia,HKG
Hungary,1997,70.70244,4450,3,101000000000,Europe,Eastern Europe,HUN
Iceland,1997,78.88537,28300,5,7310000000,Europe,Northern Europe,ISL
India,1997,61.36956,420,1,1670000000000,Asia,Southern Asia,IND
Indonesia,1997,65.58217,1100,2,1010000000000,Asia,South-eastern Asia,IDN
Iran,1997,69.07632,1820,2,537000000000,Asia,Southern Asia,IRN
Iraq,1997,68.99705,,2,135000000000,Asia,Western Asia,IRQ
Ireland,1997,75.98537,20700,5,83100000000,Europe,Northern Europe,IRL
Isle of Man,1997,,17100,,,Europe,Northern Europe,IMN
Israel,1997,78,18000,4,125000000000,Asia,Western Asia,ISR
Italy,1997,78.82439,22200,5,1350000000000,Europe,Southern Europe,ITA
Jamaica,1997,72.01571,2530,2,16000000000,Americas,Caribbean,JAM
Japan,1997,80.42415,40040,5,3170000000000,Asia,Eastern Asia,JPN
Jordan,1997,71.26356,1550,2,25100000000,Asia,Western Asia,JOR
Kazakhstan,1997,64.46341,1390,2,101000000000,Asia,Central Asia,KAZ
Kenya,1997,52.43754,390,1,47631244242,Africa,Eastern Africa,KEN
Kiribati,1997,63.14461,1340,2,115000000,Oceania,Micronesia,KIR
North Korea,1997,64.44195,,2,,Asia,Eastern Asia,PRK
South Korea,1997,74.2478,13300,5,711000000000,Asia,Eastern Asia,KOR
Kosovo,1997,68.85122,,,,Europe,Southern Europe,XKX
Kuwait,1997,73.07502,21800,4,102000000000,Asia,Western Asia,KWT
Kyrgyz Republic,1997,66.89268,390,1,6880000000,Asia,Central Asia,KGZ
Lao PDR,1997,57.20344,370,1,8000000000,Asia,South-eastern Asia,LAO
Latvia,1997,69.34927,2720,2,15800000000,Europe,Northern Europe,LVA
Lebanon,1997,72.98388,4520,3,29300000000,Asia,Western Asia,LBN
Lesotho,1997,53.12676,760,1,2350000000,Africa,Southern Africa,LSO
Liberia,1997,51.63332,120,1,,Africa,Western Africa,LBR
Libya,1997,70.22751,,3,,Africa,Northern Africa,LBY
Liechtenstein,1997,76.04634,80100,4,,Europe,Western Europe,LIE
Lithuania,1997,70.90902,,2,25300000000,Europe,Northern Europe,LTU
Luxembourg,1997,76.88049,46000,5,17900000000,Europe,Western Europe,LUX
Macao,1997,76.96276,16990,4,12354394459,Asia,Eastern Asia,MAC
"Macedonia, FYR",1997,72.52915,2140,2,9914628240,Europe,Southern Europe,MKD
Madagascar,1997,56.23351,250,1,15100000000,Africa,Eastern Africa,MDG
Malawi,1997,43.6428,200,1,6840000000,Africa,Eastern Africa,MWI
Malaysia,1997,72.27912,4570,3,267000000000,Asia,South-eastern Asia,MYS
Maldives,1997,67.27805,,2,,Asia,Southern Asia,MDV
Mali,1997,47.96646,280,1,10700000000,Africa,Western Africa,MLI
Malta,1997,77.59024,10100,3,5790000000,Europe,Southern Europe,MLT
Marshall Islands,1997,,2520,2,113000000,Oceania,Micronesia,MHL
Mauritania,1997,59.70227,580,1,5110000000,Africa,Western Africa,MRT
Mauritius,1997,70.40488,3900,3,8370000000,Africa,Eastern Africa,MUS
Mexico,1997,73.43715,4310,3,874000000000,Americas,Central America,MEX
"Micronesia, Fed. Sts.",1997,66.97161,2110,2,235000000,Oceania,Micronesia,FSM
Moldova,1997,66.5951,500,1,6920000000,Europe,Eastern Europe,MDA
Monaco,1997,,99700,4,,Europe,Western Europe,MCO
Mongolia,1997,61.73646,580,1,7820000000,Asia,Eastern Asia,MNG
Montenegro,1997,73.54905,,,,Europe,Southern Europe,MNE
Morocco,1997,67.4712,1450,2,89400000000,Africa,Northern Africa,MAR
Mozambique,1997,47.19029,230,1,6250000000,Africa,Eastern Africa,MOZ
Myanmar,1997,61.0799,,1,34000000000,Asia,South-eastern Asia,MMR
Namibia,1997,58.37493,2420,2,7920000000,Africa,Southern Africa,NAM
Nauru,1997,,,,,Oceania,Micronesia,NRU
Nepal,1997,60.07168,220,1,24200000000,Asia,Southern Asia,NPL
Netherlands,1997,77.79439,29500,5,401000000000,Europe,Western Europe,NLD
New Caledonia,1997,71.73902,17810,4,,Oceania,Melanesia,NCL
New Zealand,1997,77.33415,17200,5,72300000000,Oceania,Australia and New Zealand,NZL
Nicaragua,1997,68.2741,890,1,11400000000,Americas,Central America,NIC
Niger,1997,48.55922,190,1,5965014652,Africa,Western Africa,NER
Nigeria,1997,46.22451,280,1,242000000000,Africa,Western Africa,NGA
Northern Mariana Islands,1997,,,4,,Oceania,Micronesia,MNP
Norway,1997,78.14268,37900,5,126000000000,Europe,Northern Europe,NOR
Oman,1997,70.97898,6880,3,69700000000,Asia,Western Asia,OMN
Pakistan,1997,62.00856,490,1,330000000000,Asia,Southern Asia,PAK
Palau,1997,,6370,3,207000000,Oceania,Micronesia,PLW
Panama,1997,74.52505,3600,2,21100000000,Americas,Central America,PAN
Papua New Guinea,1997,57.90629,930,2,7890000000,Oceania,Melanesia,PNG
Paraguay,1997,69.32705,1850,2,25300000000,Americas,South America,PRY
Peru,1997,69.03254,2250,2,124000000000,Americas,South America,PER
Philippines,1997,66.32146,1230,2,232000000000,Asia,South-eastern Asia,PHL
Poland,1997,72.64634,4200,3,345000000000,Europe,Eastern Europe,POL
Portugal,1997,75.4122,12400,5,160000000000,Europe,Southern Europe,PRT
Puerto Rico,1997,74.66663,8430,3,84500000000,Americas,Caribbean,PRI
Qatar,1997,76.13054,,4,,Asia,Western Asia,QAT
Romania,1997,69.00488,1600,2,126000000000,Europe,Eastern Europe,ROU
Russian Federation,1997,66.95073,2650,2,843000000000,Europe,Eastern Europe,RUS
Rwanda,1997,39.8048,260,1,3820000000,Africa,Eastern Africa,RWA
Samoa,1997,68.37054,1520,2,511000000,Oceania,Polynesia,WSM
San Marino,1997,79.47317,,,,Europe,Southern Europe,SMR
Sao Tome and Principe,1997,62.8599,,1,,Africa,Middle Africa,STP
Saudi Arabia,1997,71.75429,8250,3,533000000000,Asia,Western Asia,SAU
Senegal,1997,57.30337,540,1,12200000000,Africa,Western Africa,SEN
Serbia,1997,72.03902,2850,,42300000000,Europe,Southern Europe,SRB
Seychelles,1997,71.41463,7330,3,1010000000,Africa,Eastern Africa,SYC
Sierra Leone,1997,36.4262,220,1,2960000000,Africa,Western Africa,SLE
Singapore,1997,76.89756,27750,4,139000000000,Asia,South-eastern Asia,SGP
Sint Maarten (Dutch part),1997,,,,,Americas,Caribbean,SXM
Slovak Republic,1997,72.70488,5400,3,54200000000,Europe,Eastern Europe,SVK
Slovenia,1997,74.70732,11300,4,30300000000,Europe,Southern Europe,SVN
Solomon Islands,1997,60.90861,1440,2,620000000,Oceania,Melanesia,SLB
Somalia,1997,48.97644,,1,,Africa,Eastern Africa,SOM
South Africa,1997,59.6132,3780,3,307000000000,Africa,Southern Africa,ZAF
South Sudan,1997,47.89846,,,,Africa,Eastern Africa,SSD
Spain,1997,78.60415,16000,5,715000000000,Europe,Southern Europe,ESP
Sri Lanka,1997,69.50466,800,2,67900000000,Asia,Southern Asia,LKA
St. Kitts and Nevis,1997,70.03634,7520,3,608000000,Americas,Caribbean,KNA
St. Lucia,1997,71.15529,3700,3,1040000000,Americas,Caribbean,LCA
St. Martin (French part),1997,76.37073,,,,Americas,Caribbean,MAF
St. Vincent and the Grenadines,1997,70.58766,3070,2,566453318,Americas,Caribbean,VCT
Sudan,1997,57.05588,370,1,51300000000,Africa,Northern Africa,SDN
Suriname,1997,67.85188,1850,2,3470000000,Americas,South America,SUR
Swaziland,1997,53.43724,1870,2,4474909685,Africa,Southern Africa,SWZ
Sweden,1997,79.19756,31400,5,216000000000,Europe,Northern Europe,SWE
Switzerland,1997,79.07951,48000,5,225000000000,Europe,Western Europe,CHE
Syrian Arab Republic,1997,71.99366,860,2,,Asia,Western Asia,SYR
Tajikistan,1997,62.79734,170,1,4680000000,Asia,Central Asia,TJK
Tanzania,1997,48.95249,210,1,32600000000,Africa,Eastern Africa,TZA
Thailand,1997,70.28239,2690,2,433000000000,Asia,South-eastern Asia,THA
Timor-Leste,1997,56.16551,,,,Asia,South-eastern Asia,TLS
Togo,1997,53.97339,350,1,4820000000,Africa,Western Africa,TGO
Tonga,1997,70.36368,2260,2,309000000,Oceania,Polynesia,TON
Trinidad and Tobago,1997,68.47261,4500,3,14000000000,Americas,Caribbean,TTO
Tunisia,1997,71.90244,2160,2,47700000000,Africa,Northern Africa,TUN
Turkey,1997,68.19968,3190,3,520000000000,Asia,Western Asia,TUR
Turkmenistan,1997,63.40012,550,1,13800000000,Asia,Central Asia,TKM
Turks and Caicos Islands,1997,,,,,Americas,Caribbean,TCA
Tuvalu,1997,,,,19400000,Oceania,Polynesia,TUV
Uganda,1997,44.31888,300,1,16500000000,Africa,Eastern Africa,UGA
Ukraine,1997,67.29537,890,2,172000000000,Europe,Eastern Europe,UKR
United Arab Emirates,1997,73.65266,,4,216000000000,Asia,Western Asia,ARE
United Kingdom,1997,77.21098,24800,5,1320000000000,Europe,Northern Europe,GBR
United States,1997,76.42927,31400,5,8610000000000,Americas,Northern America,USA
Uruguay,1997,74.005,6970,3,32100000000,Americas,South America,URY
Uzbekistan,1997,66.57112,610,2,41300000000,Asia,Central Asia,UZB
Vanuatu,1997,66.3301,1310,2,356000000,Oceania,Melanesia,VUT
"Venezuela, RB",1997,71.51227,3350,3,273000000000,Americas,South America,VEN
Vietnam,1997,72.40351,350,1,131000000000,Asia,South-eastern Asia,VNM
Virgin Islands (U.S.),1997,76.80256,,4,,Americas,Caribbean,VIR
West Bank and Gaza,1997,70.14039,1740,,6931016286,Asia,Western Asia,PSE
"Yemen, Rep.",1997,59.74798,320,1,45000000000,Asia,Western Asia,YEM
Zambia,1997,42.1582,400,1,15440560404,Africa,Eastern Africa,ZMB
Zimbabwe,1997,46.0659,670,1,24058204473,Africa,Eastern Africa,ZWE
Taiwan,1997,77.04,14184,4,387000000000,Asia,Eastern Asia,TWN
Afghanistan,1998,54.40273,,1,,Asia,Southern Asia,AFG
Albania,1998,73.32659,900,2,10000000000,Europe,Southern Europe,ALB
Algeria,1998,69.34095,1530,2,227000000000,Africa,Northern Africa,DZA
American Samoa,1998,,,3,,Oceania,Polynesia,ASM
Andorra,1998,,19400,,,Europe,Southern Europe,AND
Angola,1998,43.71427,430,1,41406142195,Africa,Middle Africa,AGO
Antigua and Barbuda,1998,72.97378,7730,3,1050000000,Americas,Caribbean,ATG
Argentina,1998,73.32768,7990,3,440000000000,Americas,South America,ARG
Armenia,1998,70.24022,590,1,6260000000,Asia,Western Asia,ARM
Aruba,1998,73.64229,,4,,Americas,Caribbean,ABW
Australia,1998,78.63171,21770,5,453000000000,Oceania,Australia and New Zealand,AUS
Austria,1998,77.67073,27900,5,212000000000,Europe,Western Europe,AUT
Azerbaijan,1998,65.92337,510,1,23000000000,Asia,Western Asia,AZE
"Bahamas, The",1998,71.74788,15800,4,5270000000,Americas,Caribbean,BHS
Bahrain,1998,74.2031,10000,3,20800000000,Asia,Western Asia,BHR
Bangladesh,1998,64.05915,400,1,150000000000,Asia,Southern Asia,BGD
Barbados,1998,72.87066,9700,3,2840000000,Americas,Caribbean,BRB
Belarus,1998,68.40732,1550,2,50958005164,Europe,Eastern Europe,BLR
Belgium,1998,77.47317,26700,5,250000000000,Europe,Western Europe,BEL
Belize,1998,68.6539,2790,2,1070000000,Americas,Central America,BLZ
Benin,1998,54.89015,370,1,7830000000,Africa,Western Africa,BEN
Bermuda,1998,,,4,2140000000,Americas,Northern America,BMU
Bhutan,1998,58.88868,580,1,1340000000,Asia,Southern Asia,BTN
Bolivia,1998,59.55427,1000,2,27300000000,Americas,South America,BOL
Bosnia and Herzegovina,1998,73.43729,1310,2,14200000000,Europe,Southern Europe,BIH
Botswana,1998,50.81234,3010,3,12300000000,Africa,Southern Africa,BWA
Brazil,1998,69.1131,4820,3,1450000000000,Americas,South America,BRA
British Virgin Islands,1998,,,,,Americas,Caribbean,VGB
Brunei Darussalam,1998,74.87554,14530,4,19691466924,Asia,South-eastern Asia,BRN
Bulgaria,1998,71.06098,1390,2,49600000000,Europe,Eastern Europe,BGR
Burkina Faso,1998,49.77693,250,1,8710000000,Africa,Western Africa,BFA
Burundi,1998,50.69205,140,1,3750000000,Africa,Eastern Africa,BDI
Cabo Verde,1998,68.96641,1300,2,1000000000,Africa,Western Africa,CPV
Cambodia,1998,56.79161,290,1,10500000000,Asia,South-eastern Asia,KHM
Cameroon,1998,52.44673,630,1,27000000000,Africa,Middle Africa,CMR
Canada,1998,78.66244,20800,5,790000000000,Americas,Northern America,CAN
Cayman Islands,1998,,,4,,Americas,Caribbean,CYM
Central African Republic,1998,45.37029,270,1,2320000000,Africa,Middle Africa,CAF
Chad,1998,47.56322,220,1,6420000000,Africa,Middle Africa,TCD
Channel Islands,1998,77.03966,,4,,Europe,Western Europe,CHI
Chile,1998,76.04466,5350,3,132000000000,Americas,South America,CHL
China,1998,70.89046,800,6,3050000000000,Asia,Eastern Asia,CHN
Colombia,1998,70.39495,2510,2,256000000000,Americas,South America,COL
Comoros,1998,59.27093,420,1,543000000,Africa,Eastern Africa,COM
"Congo, Dem. Rep.",1998,49.19244,120,1,21300000000,Africa,Middle Africa,COD
"Congo, Rep.",1998,50.84737,580,1,10500000000,Africa,Middle Africa,COG
Costa Rica,1998,77.09693,3360,2,27500000000,Americas,Central America,CRI
Cote d'Ivoire,1998,47.46351,750,1,37700000000,Africa,Western Africa,CIV
Croatia,1998,72.31707,5440,3,44241626863,Europe,Southern Europe,HRV
Cuba,1998,76.19307,2240,2,85200000000,Americas,Caribbean,CUB
Curacao,1998,,,,,Americas,Caribbean,CUW
Cyprus,1998,77.70093,15800,4,12900000000,Asia,Western Asia,CYP
Czech Republic,1998,74.51463,6060,3,153000000000,Europe,Eastern Europe,CZE
Denmark,1998,76.13902,33600,5,137000000000,Europe,Northern Europe,DNK
Djibouti,1998,56.98773,720,2,1140000000,Africa,Eastern Africa,DJI
Dominica,1998,,3360,2,430000000,Americas,Caribbean,DMA
Dominican Republic,1998,70.26366,2380,2,46200000000,Americas,Caribbean,DOM
Ecuador,1998,72.30815,2170,2,73900000000,Americas,South America,ECU
"Egypt, Arab Rep.",1998,68.03659,1210,2,353000000000,Africa,Northern Africa,EGY
El Salvador,1998,68.1578,1950,2,27000000000,Americas,Central America,SLV
Equatorial Guinea,1998,51.4882,790,2,3406837252,Africa,Middle Africa,GNQ
Eritrea,1998,54.73934,220,1,4490000000,Africa,Eastern Africa,ERI
Estonia,1998,69.35854,,3,11600000000,Europe,Northern Europe,EST
Ethiopia,1998,50.83029,130,1,28100000000,Africa,Eastern Africa,ETH
Faroe Islands,1998,78.02683,,4,,Europe,Northern Europe,FRO
Fiji,1998,67.23085,2300,2,3860000000,Oceania,Melanesia,FJI
Finland,1998,77.09073,25800,5,121000000000,Europe,Northern Europe,FIN
France,1998,78.60488,26000,5,1410000000000,Europe,Western Europe,FRA
French Polynesia,1998,71.7238,16900,4,,Oceania,Polynesia,PYF
Gabon,1998,59.9768,3930,3,18700000000,Africa,Middle Africa,GAB
"Gambia, The",1998,54.63371,710,1,1310000000,Africa,Western Africa,GMB
Georgia,1998,71.00351,820,2,10500000000,Asia,Western Asia,GEO
Germany,1998,77.47561,28000,5,2080000000000,Europe,Western Europe,DEU
Ghana,1998,57.02393,400,1,30200000000,Africa,Western Africa,GHA
Gibraltar,1998,,,,,Europe,Southern Europe,GIB
Greece,1998,77.83902,13800,5,193000000000,Europe,Southern Europe,GRC
Greenland,1998,66.15707,20400,4,,Americas,Northern America,GRL
Grenada,1998,69.84746,2990,3,668000000,Americas,Caribbean,GRD
Guam,1998,74.38229,,4,,Oceania,Micronesia,GUM
Guatemala,1998,66.66156,1600,2,50200000000,Americas,Central America,GTM
Guinea,1998,51.47517,430,1,7150000000,Africa,Western Africa,GIN
Guinea-Bissau,1998,51.13063,150,1,1210000000,Africa,Western Africa,GNB
Guyana,1998,64.68463,880,2,2560000000,Americas,South America,GUY
Haiti,1998,57.16902,400,1,11000000000,Americas,Caribbean,HTI
Honduras,1998,69.95898,750,1,16000000000,Americas,Central America,HND
Hong Kong,1998,80.13171,24800,4,157000000000,Asia,Eastern Asia,HKG
Hungary,1998,70.5578,4460,3,107000000000,Europe,Eastern Europe,HUN
Iceland,1998,79.60244,29000,5,7830000000,Europe,Northern Europe,ISL
India,1998,61.80722,420,1,1790000000000,Asia,Southern Asia,IND
Indonesia,1998,65.82939,660,1,886000000000,Asia,South-eastern Asia,IDN
Iran,1998,69.41556,1810,2,554000000000,Asia,Southern Asia,IRN
Iraq,1998,69.13241,,2,184000000000,Asia,Western Asia,IRQ
Ireland,1998,76.18049,21400,5,93000000000,Europe,Northern Europe,IRL
Isle of Man,1998,,18800,,,Europe,Northern Europe,IMN
Israel,1998,78.14878,17700,4,132000000000,Asia,Western Asia,ISR
Italy,1998,78.97561,22100,5,1420000000000,Europe,Southern Europe,ITA
Jamaica,1998,72.08685,2690,2,15800000000,Americas,Caribbean,JAM
Japan,1998,80.50146,34500,5,3170000000000,Asia,Eastern Asia,JPN
Jordan,1998,71.43288,1580,2,26100000000,Asia,Western Asia,JOR
Kazakhstan,1998,64.56098,1390,2,100000000000,Asia,Central Asia,KAZ
Kenya,1998,51.64259,440,1,49700000000,Africa,Eastern Africa,KEN
Kiribati,1998,63.4329,1470,2,123610563,Oceania,Micronesia,KIR
North Korea,1998,64.19151,,1,,Asia,Eastern Asia,PRK
South Korea,1998,74.68024,10120,3,680000000000,Asia,Eastern Asia,KOR
Kosovo,1998,68.95122,,,,Europe,Southern Europe,XKX
Kuwait,1998,73.15895,20400,4,106000000000,Asia,Western Asia,KWT
Kyrgyz Republic,1998,67.05122,360,1,7100000000,Asia,Central Asia,KGZ
Lao PDR,1998,57.75756,310,1,8410000000,Asia,South-eastern Asia,LAO
Latvia,1998,69.0122,2870,2,17000000000,Europe,Northern Europe,LVA
Lebanon,1998,73.46141,4970,3,30700000000,Asia,Western Asia,LBN
Lesotho,1998,51.05507,680,1,2410000000,Africa,Southern Africa,LSO
Liberia,1998,52.07076,130,1,1180000000,Africa,Western Africa,LBR
Libya,1998,70.3418,,3,,Africa,Northern Africa,LBY
Liechtenstein,1998,77.74634,77500,4,,Europe,Western Europe,LIE
Lithuania,1998,71.21951,,2,27500000000,Europe,Northern Europe,LTU
Luxembourg,1998,77.01707,42800,5,18800000000,Europe,Western Europe,LUX
Macao,1998,77.18661,15500,4,11900000000,Asia,Eastern Asia,MAC
"Macedonia, FYR",1998,72.77034,1940,2,10400000000,Europe,Southern Europe,MKD
Madagascar,1998,57.02044,250,1,15900000000,Africa,Eastern Africa,MDG
Malawi,1998,43.7341,200,1,7180000000,Africa,Eastern Africa,MWI
Malaysia,1998,72.48166,3600,3,250000000000,Asia,South-eastern Asia,MYS
Maldives,1998,68.18383,,2,,Asia,Southern Asia,MDV
Mali,1998,48.18949,280,1,11600000000,Africa,Western Africa,MLI
Malta,1998,77.3878,10000,4,6110000000,Europe,Southern Europe,MLT
Marshall Islands,1998,,2530,2,111000000,Oceania,Micronesia,MHL
Mauritania,1998,59.82551,550,1,5310000000,Africa,Western Africa,MRT
Mauritius,1998,70.60732,3780,3,8970000000,Africa,Eastern Africa,MUS
Mexico,1998,73.75141,4610,3,923000000000,Americas,Central America,MEX
"Micronesia, Fed. Sts.",1998,67.0729,2010,2,245003323,Oceania,Micronesia,FSM
Moldova,1998,66.63032,460,1,6540000000,Europe,Eastern Europe,MDA
Monaco,1998,,95000,4,,Europe,Western Europe,MCO
Mongolia,1998,62.07954,520,1,8170000000,Asia,Eastern Asia,MNG
Montenegro,1998,73.36385,,,,Europe,Southern Europe,MNE
Morocco,1998,67.79893,1450,2,96900000000,Africa,Northern Africa,MAR
Mozambique,1998,47.75693,260,1,7064822987,Africa,Eastern Africa,MOZ
Myanmar,1998,61.41444,,1,36400000000,Asia,South-eastern Asia,MMR
Namibia,1998,57.27746,2270,2,8270000000,Africa,Southern Africa,NAM
Nauru,1998,,,,,Oceania,Micronesia,NRU
Nepal,1998,60.84761,210,1,25200000000,Asia,Southern Asia,NPL
Netherlands,1998,77.88293,27900,5,429000000000,Europe,Western Europe,NLD
New Caledonia,1998,74.37561,15700,4,,Oceania,Melanesia,NCL
New Zealand,1998,78.08537,15800,5,73700000000,Oceania,Australia and New Zealand,NZL
Nicaragua,1998,68.7288,890,1,12000000000,Americas,Central America,NIC
Niger,1998,49.28029,200,1,6660000000,Africa,Western Africa,NER
Nigeria,1998,46.31566,270,1,251000000000,Africa,Western Africa,NGA
Northern Mariana Islands,1998,,,4,,Oceania,Micronesia,MNP
Norway,1998,78.32927,36110,5,125000000000,Europe,Northern Europe,NOR
Oman,1998,71.45168,6570,3,72300000000,Asia,Western Asia,OMN
Pakistan,1998,62.26761,470,1,342000000000,Asia,Southern Asia,PAK
Palau,1998,,6110,3,214000000,Oceania,Micronesia,PLW
Panama,1998,74.72083,3690,3,22900000000,Americas,Central America,PAN
Papua New Guinea,1998,58.18951,780,2,7670000000,Oceania,Melanesia,PNG
Paraguay,1998,69.56146,1720,2,25600000000,Americas,South America,PRY
Peru,1998,69.5368,2140,2,125000000000,Americas,South America,PER
Philippines,1998,66.44217,1200,2,234000000000,Asia,South-eastern Asia,PHL
Poland,1998,72.99756,4330,3,366000000000,Europe,Eastern Europe,POL
Portugal,1998,75.7122,12170,5,169000000000,Europe,Southern Europe,PRT
Puerto Rico,1998,75.01141,8710,3,91200000000,Americas,Caribbean,PRI
Qatar,1998,76.25556,,4,,Asia,Western Asia,QAT
Romania,1998,69.80732,1590,2,126000000000,Europe,Eastern Europe,ROU
Russian Federation,1998,66.7839,2130,2,806000000000,Europe,Eastern Europe,RUS
Rwanda,1998,43.4152,260,1,4200000000,Africa,Eastern Africa,RWA
Samoa,1998,68.7648,1550,2,528000000,Oceania,Polynesia,WSM
San Marino,1998,80.17317,,,,Europe,Southern Europe,SMR
Sao Tome and Principe,1998,62.99746,,1,,Africa,Middle Africa,STP
Saudi Arabia,1998,72.04017,7870,3,554000000000,Asia,Western Asia,SAU
Senegal,1998,57.35915,530,1,13100000000,Africa,Western Africa,SEN
Serbia,1998,,2800,,43700000000,Europe,Southern Europe,SRB
Seychelles,1998,,7320,3,1110000000,Africa,Eastern Africa,SYC
Sierra Leone,1998,37.0468,190,1,3040000000,Africa,Western Africa,SLE
Singapore,1998,77.3,24000,4,137000000000,Asia,South-eastern Asia,SGP
Sint Maarten (Dutch part),1998,,,,,Americas,Caribbean,SXM
Slovak Republic,1998,72.55122,5410,3,57200000000,Europe,Eastern Europe,SVK
Slovenia,1998,74.80732,11100,4,31800000000,Europe,Southern Europe,SVN
Solomon Islands,1998,61.54363,1320,1,638000000,Oceania,Melanesia,SLB
Somalia,1998,49.76383,,1,,Africa,Eastern Africa,SOM
South Africa,1998,58.44302,3370,2,312000000000,Africa,Southern Africa,ZAF
South Sudan,1998,48.36759,,,,Africa,Eastern Africa,SSD
Spain,1998,78.66585,15700,5,765000000000,Europe,Southern Europe,ESP
Sri Lanka,1998,69.85066,820,2,71900000000,Asia,Southern Asia,LKA
St. Kitts and Nevis,1998,,7240,3,611000000,Americas,Caribbean,KNA
St. Lucia,1998,71.19137,3800,3,1110000000,Americas,Caribbean,LCA
St. Martin (French part),1998,76.57073,,,,Americas,Caribbean,MAF
St. Vincent and the Grenadines,1998,70.57632,3180,2,596000000,Americas,Caribbean,VCT
Sudan,1998,57.34439,320,1,54000000000,Africa,Northern Africa,SDN
Suriname,1998,67.86641,1940,2,3560000000,Americas,South America,SUR
Swaziland,1998,51.78944,1650,2,4640000000,Africa,Southern Africa,SWZ
Sweden,1998,79.33902,31120,5,226000000000,Europe,Northern Europe,SWE
Switzerland,1998,79.32439,45000,5,234000000000,Europe,Western Europe,CHE
Syrian Arab Republic,1998,72.23668,920,2,,Asia,Western Asia,SYR
Tajikistan,1998,63.06568,180,1,4980000000,Asia,Central Asia,TJK
Tanzania,1998,49.30451,250,1,34100000000,Africa,Eastern Africa,TZA
Thailand,1998,70.36263,2090,2,404000000000,Asia,South-eastern Asia,THA
