PerceivedRuleOfLaw,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Albania,,20.57,,11,,10.53,,21.05,22.01,26.32,25.84,26.79,27.27,31.73,36.49,40.76,38.5,36.62,36.62,40.87,41.83
Bangladesh,,18.66,,19.62,,20.1,,22.49,17.22,17.22,18.18,22.01,22.49,24.52,24.64,25.59,28.64,19.72,22.54,25.96,27.4
Bolivia,,42.11,,43.54,,38.76,,37.8,39.23,30.14,26.32,22.97,22.01,16.83,13.27,14.22,15.96,15.49,14.08,12.5,11.06
Brazil,,41.63,,41.63,,42.58,,44.98,40.67,40.19,37.32,42.58,42.11,43.27,48.82,55.45,56.34,52.11,52.58,55.29,50
Burundi,,2.87,,5.74,,2.87,,6.7,4.78,4.31,11.48,18.18,12.44,14.9,12.32,10.9,13.62,15.02,15.02,16.83,11.54
Central African Republic,,6.22,,6.22,,3.83,,13.4,4.31,3.83,5.26,2.87,1.91,4.81,5.69,7.11,7.98,3.76,0.47,1.44,1.44
China,,36.36,,38.76,,35.89,,39.23,40.19,38.76,37.8,37.32,41.15,45.19,45.5,45.02,43.19,39.44,40.85,42.79,43.75
Colombia,,22.01,,24.4,,18.66,,25.84,26.32,29.19,31.58,38.28,39.71,39.42,42.18,44.55,47.42,44.6,41.31,42.31,44.71
"Congo, DR",,1.44,,0.48,,0.96,,1.91,0.96,2.87,3.83,1.91,2.39,2.88,1.9,2.37,1.88,1.41,2.82,4.33,3.37
Ecuador,,33.49,,30.62,,30.14,,27.27,26.79,27.75,23.92,13.88,13.4,10.1,7.58,10.43,11.74,12.21,18.31,13.46,13.94
Georgia,,8.13,,6.7,,13.88,,11.96,17.7,31.1,30.14,39.71,45.45,48.56,49.29,48.82,51.64,55.4,53.99,64.42,65.38
Ghana,,41.15,,35.89,,54.55,,51.67,53.11,48.8,48.8,54.55,53.59,52.4,52.61,54.03,54.46,54.93,57.28,59.13,60.58
Haiti,,3.83,,4.31,,2.39,,0,0.48,0.96,1.91,4.78,6.22,7.69,5.21,4.74,5.16,6.1,7.98,7.69,9.62
Honduras,,19.62,,18.18,,18.18,,23.44,20.57,27.27,28.23,15.79,19.62,18.75,19.91,21.33,19.25,11.27,10.8,14.9,16.83
India,,59.33,,60.29,,59.81,,51.2,55.02,54.07,57.89,56.94,56.94,56.73,54.98,54.5,52.11,53.05,53.05,54.81,55.77
Indonesia,,39.71,,27.75,,28.71,,20.1,21.05,25.36,25.36,27.75,29.67,31.25,34.6,31.75,31.92,34.27,37.09,41.83,39.9
Jordan,,59.81,,61.72,,62.68,,57.89,62.68,61.72,61.24,62.2,63.16,63.94,61.61,61.14,61.97,62.91,63.38,69.71,68.27
Kazakhstan,,11.48,,16.27,,16.27,,13.88,16.27,15.79,24.88,19.14,21.05,23.08,32.7,32.7,32.39,31.46,30.52,33.65,41.35
