Country,ISO,Region,Year,World Bank Classification,r_Gross Domestic Product (PPP),y_Life Expectancy (years),x_GNI per capita (US$)
United Arab Emirates,ARE,Asia,1996,4,196000000000,73.4,
United Kingdom,GBR,Europe,1996,5,1250000000000,77.1,22580
United States,USA,Americas,1996,5,8100000000000,76.0,30400
Uruguay,URY,Americas,1996,3,29096270936,73.8,6160
Uzbekistan,UZB,Asia,1996,2,38600000000,66.4,600
Vanuatu,VUT,Oceania,1996,2,334000000,65.9,1280
"Venezuela, RB",VEN,Americas,1996,2,252000000000,71.2,2960
Vietnam,VNM,Asia,1996,1,119000000000,72.1,310
Virgin Islands (U.S.),VIR,Americas,1996,4,,76.5,
West Bank and Gaza,PSE,Asia,1996,0,5500000000,69.9,1520
"Yemen, Rep.",YEM,Asia,1996,1,42000000000,59.5,290
Zambia,ZMB,Africa,1996,1,14623018430,42.0,400
Zimbabwe,ZWE,Africa,1996,1,23035877684,48.1,670
Taiwan,TWN,Asia,1996,4,359000000000,76.0,13836
Afghanistan,AFG,Asia,1997,1,,54.0,
Albania,ALB,Europe,1997,1,8932819723,72.9,830
Algeria,DZA,Africa,1997,2,214000000000,68.9,1500
American Samoa,ASM,Oceania,1997,3,,,
Andorra,AND,Europe,1997,,,,20200
Angola,AGO,Africa,1997,1,38400000000,43.1,430
Antigua and Barbuda,ATG,Americas,1997,3,992000000,72.8,7620
Argentina,ARG,Americas,1997,3,420000000000,73.1,8110
Armenia,ARM,Asia,1997,1,5780000000,69.7,560
Aruba,ABW,Americas,1997,4,,73.6,
Australia,AUS,Oceania,1997,5,426000000000,78.5,22000
Austria,AUT,Europe,1997,5,202000000000,77.3,29600
Azerbaijan,AZE,Asia,1997,1,20600000000,65.5,450
"Bahamas, The",BHS,Americas,1997,4,4980000000,71.5,13700
Bahrain,BHR,Asia,1997,3,19597880352,74.0,10260
Bangladesh,BGD,Asia,1997,1,141000000000,63.4,390
Barbados,BRB,Americas,1997,3,2710000000,72.7,9360
Belarus,BLR,Europe,1997,2,46500000000,68.5,1530
Belgium,BEL,Europe,1997,5,243000000000,77.4,28700
Belize,BLZ,Americas,1997,2,1020000000,68.9,2890
Benin,BEN,Africa,1997,1,7450000000,54.8,370
Bermuda,BMU,Americas,1997,4,2033508194,,
Bhutan,BTN,Asia,1997,1,1250000000,58.0,610
Bolivia,BOL,Americas,1997,2,25700000000,59.0,960
Bosnia and Herzegovina,BIH,Europe,1997,1,12200000000,72.9,1000
Botswana,BWA,Africa,1997,3,12100000000,52.5,3110
Brazil,BRA,Americas,1997,3,1430000000000,68.6,5030
British Virgin Islands,VGB,Americas,1997,,,,
Brunei Darussalam,BRN,Asia,1997,4,19600000000,74.7,16300
Bulgaria,BGR,Europe,1997,2,47300000000,70.4,1330
Burkina Faso,BFA,Africa,1997,1,8032516578,49.6,250
Burundi,BDI,Africa,1997,1,3550000000,50.1,140
Cabo Verde,CPV,Africa,1997,2,881000000,68.6,1340
Cambodia,KHM,Asia,1997,1,9880000000,56.1,320
Cameroon,CMR,Africa,1997,1,25400000000,52.7,640
Canada,CAN,Americas,1997,5,752000000000,78.5,21100
Cayman Islands,CYM,Americas,1997,4,,,
Central African Republic,CAF,Africa,1997,1,2200000000,45.8,290
Chad,TCD,Africa,1997,1,5940000000,47.5,210
Channel Islands,CHI,Europe,1997,4,,76.8,
Chile,CHL,Americas,1997,3,126000000000,75.6,5480
China,CHN,Asia,1997,6,2800000000000,70.5,750
Colombia,COL,Americas,1997,2,252000000000,70.1,2590
Comoros,COM,Africa,1997,1,530000000,59.1,460
"Congo, Dem. Rep.",COD,Africa,1997,1,21500000000,49.0,120
"Congo, Rep.",COG,Africa,1997,1,10000000000,51.2,590
Costa Rica,CRI,Americas,1997,2,25400000000,76.9,3330
Cote d'Ivoire,CIV,Africa,1997,1,35600000000,48.1,760
Croatia,HRV,Europe,1997,3,42800000000,72.5,5470
Cuba,CUB,Americas,1997,2,84100000000,75.9,2500
Curacao,CUW,Americas,1997,,,,
Cyprus,CYP,Asia,1997,4,12000000000,77.6,14600
Czech Republic,CZE,Europe,1997,3,151000000000,73.8,6110
Denmark,DNK,Europe,1997,5,132000000000,75.9,35300
Djibouti,DJI,Africa,1997,2,1120000000,57.0,740
Dominica,DMA,Americas,1997,2,405000000,76.0,3190
Dominican Republic,DOM,Americas,1997,2,42700000000,70.1,2300
Ecuador,ECU,Americas,1997,2,70841032129,72.0,2190
"Egypt, Arab Rep.",EGY,Africa,1997,2,335000000000,67.7,1130
El Salvador,SLV,Americas,1997,2,25700000000,67.9,1860
Equatorial Guinea,GNQ,Africa,1997,2,2720000000,51.1,970
Eritrea,ERI,Africa,1997,1,4360000000,54.0,220
Estonia,EST,Europe,1997,3,11000000000,69.8,
Ethiopia,ETH,Africa,1997,1,28800000000,50.3,140
Faroe Islands,FRO,Europe,1997,4,,77.8,
Fiji,FJI,Oceania,1997,2,3770000000,67.0,2580
Finland,FIN,Europe,1997,5,112000000000,76.9,26700
France,FRA,Europe,1997,5,1340000000000,78.3,27100
French Polynesia,PYF,Oceania,1997,4,,71.3,17500
Gabon,GAB,Africa,1997,3,17900000000,60.3,4260
"Gambia, The",GMB,Africa,1997,1,1250000000,54.2,730
Georgia,GEO,Asia,1997,2,10100000000,70.7,790
Germany,DEU,Europe,1997,5,2020000000000,77.1,30200
Ghana,GHA,Africa,1997,1,28501368103,57.2,400
Gibraltar,GIB,Europe,1997,,,,
Greece,GRC,Europe,1997,5,183000000000,78.1,14100
Greenland,GRL,Americas,1997,4,,65.8,20500
Grenada,GRD,Americas,1997,3,620000000,69.7,2870
Guam,GUM,Oceania,1997,4,,74.0,
Guatemala,GTM,Americas,1997,2,47300000000,66.1,1520
Guinea,GIN,Africa,1997,1,6820000000,51.6,470
Guinea-Bissau,GNB,Africa,1997,1,1670000000,51.0,220
Guyana,GUY,Americas,1997,2,2570000000,64.5,910
Haiti,HTI,Americas,1997,1,10600000000,56.9,
Honduras,HND,Americas,1997,1,15359849531,69.6,720
Hong Kong,HKG,Asia,1997,4,165000000000,80.1,25900
Hungary,HUN,Europe,1997,3,101000000000,70.7,4450
Iceland,ISL,Europe,1997,5,7310000000,78.9,28300
India,IND,Asia,1997,1,1670000000000,61.4,420
Indonesia,IDN,Asia,1997,2,1010000000000,65.6,1100
Iran,IRN,Asia,1997,2,537000000000,69.1,1820
Iraq,IRQ,Asia,1997,2,135000000000,69.0,
Ireland,IRL,Europe,1997,5,83100000000,76.0,20700
Isle of Man,IMN,Europe,1997,,,,17100
Israel,ISR,Asia,1997,4,125000000000,78.0,18000
Italy,ITA,Europe,1997,5,1350000000000,78.8,22200
Jamaica,JAM,Americas,1997,2,16000000000,72.0,2530
Japan,JPN,Asia,1997,5,3170000000000,80.4,40040
Jordan,JOR,Asia,1997,2,25100000000,71.3,1550
Kazakhstan,KAZ,Asia,1997,2,101000000000,64.5,1390
Kenya,KEN,Africa,1997,1,47631244242,52.4,390
Kiribati,KIR,Oceania,1997,2,115000000,63.1,1340
North Korea,PRK,Asia,1997,2,,64.4,
South Korea,KOR,Asia,1997,5,711000000000,74.2,13300
Kosovo,XKX,Europe,1997,0,,68.9,
Kuwait,KWT,Asia,1997,4,102000000000,73.1,21800
Kyrgyz Republic,KGZ,Asia,1997,1,6880000000,66.9,390
Lao PDR,LAO,Asia,1997,1,8000000000,57.2,370
Latvia,LVA,Europe,1997,2,15800000000,69.3,2720
Lebanon,LBN,Asia,1997,3,29300000000,73.0,4520
Lesotho,LSO,Africa,1997,1,2350000000,53.1,760
Liberia,LBR,Africa,1997,1,,51.6,120
Libya,LBY,Africa,1997,3,,70.2,
Liechtenstein,LIE,Europe,1997,4,,76.0,80100
Lithuania,LTU,Europe,1997,2,25300000000,70.9,
Luxembourg,LUX,Europe,1997,5,17900000000,76.9,46000
Macao,MAC,Asia,1997,4,12354394459,77.0,16990
"Macedonia, FYR",MKD,Europe,1997,2,9914628240,72.5,2140
Madagascar,MDG,Africa,1997,1,15100000000,56.2,250
Malawi,MWI,Africa,1997,1,6840000000,43.6,200
Malaysia,MYS,Asia,1997,3,267000000000,72.3,4570
Maldives,MDV,Asia,1997,2,,67.3,
Mali,MLI,Africa,1997,1,10700000000,48.0,280
Malta,MLT,Europe,1997,3,5790000000,77.6,10100
Marshall Islands,MHL,Oceania,1997,2,113000000,,2520
Mauritania,MRT,Africa,1997,1,5110000000,59.7,580
Mauritius,MUS,Africa,1997,3,8370000000,70.4,3900
Mexico,MEX,Americas,1997,3,874000000000,73.4,4310
"Micronesia, Fed. Sts.",FSM,Oceania,1997,2,235000000,67.0,2110
Moldova,MDA,Europe,1997,1,6920000000,66.6,500
Monaco,MCO,Europe,1997,4,,,99700
Mongolia,MNG,Asia,1997,1,7820000000,61.7,580
Montenegro,MNE,Europe,1997,0,,73.5,
Morocco,MAR,Africa,1997,2,89400000000,67.5,1450
Mozambique,MOZ,Africa,1997,1,6250000000,47.2,230
Myanmar,MMR,Asia,1997,1,34000000000,61.1,
Namibia,NAM,Africa,1997,2,7920000000,58.4,2420
Nauru,NRU,Oceania,1997,,,,
Nepal,NPL,Asia,1997,1,24200000000,60.1,220
Netherlands,NLD,Europe,1997,5,401000000000,77.8,29500
New Caledonia,NCL,Oceania,1997,4,,71.7,17810
New Zealand,NZL,Oceania,1997,5,72300000000,77.3,17200
Nicaragua,NIC,Americas,1997,1,11400000000,68.3,890
Niger,NER,Africa,1997,1,5965014652,48.6,190
Nigeria,NGA,Africa,1997,1,242000000000,46.2,280
Northern Mariana Islands,MNP,Oceania,1997,4,,,
Norway,NOR,Europe,1997,5,126000000000,78.1,37900
Oman,OMN,Asia,1997,3,69700000000,71.0,6880
Pakistan,PAK,Asia,1997,1,330000000000,62.0,490
Palau,PLW,Oceania,1997,3,207000000,,6370
Panama,PAN,Americas,1997,2,21100000000,74.5,3600
Papua New Guinea,PNG,Oceania,1997,2,7890000000,57.9,930
Paraguay,PRY,Americas,1997,2,25300000000,69.3,1850
Peru,PER,Americas,1997,2,124000000000,69.0,2250
Philippines,PHL,Asia,1997,2,232000000000,66.3,1230
Poland,POL,Europe,1997,3,345000000000,72.6,4200
Portugal,PRT,Europe,1997,5,160000000000,75.4,12400
Puerto Rico,PRI,Americas,1997,3,84500000000,74.7,8430
Qatar,QAT,Asia,1997,4,,76.1,
Romania,ROU,Europe,1997,2,126000000000,69.0,1600
Russian Federation,RUS,Europe,1997,2,843000000000,67.0,2650
Rwanda,RWA,Africa,1997,1,3820000000,39.8,260
Samoa,WSM,Oceania,1997,2,511000000,68.4,1520
San Marino,SMR,Europe,1997,0,,79.5,
Sao Tome and Principe,STP,Africa,1997,1,,62.9,
Saudi Arabia,SAU,Asia,1997,3,533000000000,71.8,8250
Senegal,SEN,Africa,1997,1,12200000000,57.3,540
Serbia,SRB,Europe,1997,0,42300000000,72.0,2850
Seychelles,SYC,Africa,1997,3,1010000000,71.4,7330
Sierra Leone,SLE,Africa,1997,1,2960000000,36.4,220
Singapore,SGP,Asia,1997,4,139000000000,76.9,27750
Sint Maarten (Dutch part),SXM,Americas,1997,,,,
Slovak Republic,SVK,Europe,1997,3,54200000000,72.7,5400
Slovenia,SVN,Europe,1997,4,30300000000,74.7,11300
Solomon Islands,SLB,Oceania,1997,2,620000000,60.9,1440
Somalia,SOM,Africa,1997,1,,49.0,
South Africa,ZAF,Africa,1997,3,307000000000,59.6,3780
South Sudan,SSD,Africa,1997,0,,47.9,
Spain,ESP,Europe,1997,5,715000000000,78.6,16000
Sri Lanka,LKA,Asia,1997,2,67900000000,69.5,800
St. Kitts and Nevis,KNA,Americas,1997,3,608000000,70.0,7520
St. Lucia,LCA,Americas,1997,3,1040000000,71.2,3700
St. Martin (French part),MAF,Americas,1997,0,,76.4,
St. Vincent and the Grenadines,VCT,Americas,1997,2,566453318,70.6,3070
Sudan,SDN,Africa,1997,1,51300000000,57.1,370
Suriname,SUR,Americas,1997,2,3470000000,67.9,1850
Swaziland,SWZ,Africa,1997,2,4474909685,53.4,1870
Sweden,SWE,Europe,1997,5,216000000000,79.2,31400
Switzerland,CHE,Europe,1997,5,225000000000,79.1,48000
Syrian Arab Republic,SYR,Asia,1997,2,,72.0,860
Tajikistan,TJK,Asia,1997,1,4680000000,62.8,170
Tanzania,TZA,Africa,1997,1,32600000000,49.0,210
Thailand,THA,Asia,1997,2,433000000000,70.3,2690
Timor-Leste,TLS,Asia,1997,0,,56.2,
Togo,TGO,Africa,1997,1,4820000000,54.0,350
Tonga,TON,Oceania,1997,2,309000000,70.4,2260
Trinidad and Tobago,TTO,Americas,1997,3,14000000000,68.5,4500
Tunisia,TUN,Africa,1997,2,47700000000,71.9,2160
Turkey,TUR,Asia,1997,3,520000000000,68.2,3190
Turkmenistan,TKM,Asia,1997,1,13800000000,63.4,550
Turks and Caicos Islands,TCA,Americas,1997,,,,
Tuvalu,TUV,Oceania,1997,,19400000,,
Uganda,UGA,Africa,1997,1,16500000000,44.3,300
Ukraine,UKR,Europe,1997,2,172000000000,67.3,890
United Arab Emirates,ARE,Asia,1997,4,216000000000,73.7,
United Kingdom,GBR,Europe,1997,5,1320000000000,77.2,24800
United States,USA,Americas,1997,5,8610000000000,76.4,31400
Uruguay,URY,Americas,1997,3,32100000000,74.0,6970
Uzbekistan,UZB,Asia,1997,2,41300000000,66.6,610
Vanuatu,VUT,Oceania,1997,2,356000000,66.3,1310
"Venezuela, RB",VEN,Americas,1997,3,273000000000,71.5,3350
Vietnam,VNM,Asia,1997,1,131000000000,72.4,350
Virgin Islands (U.S.),VIR,Americas,1997,4,,76.8,
West Bank and Gaza,PSE,Asia,1997,0,6931016286,70.1,1740
"Yemen, Rep.",YEM,Asia,1997,1,45000000000,59.7,320
Zambia,ZMB,Africa,1997,1,15440560404,42.2,400
Zimbabwe,ZWE,Africa,1997,1,24058204473,46.1,670
Taiwan,TWN,Asia,1997,4,387000000000,77.0,14184
Afghanistan,AFG,Asia,1998,1,,54.4,
Albania,ALB,Europe,1998,2,10000000000,73.3,900
Algeria,DZA,Africa,1998,2,227000000000,69.3,1530
American Samoa,ASM,Oceania,1998,3,,,
Andorra,AND,Europe,1998,,,,19400
Angola,AGO,Africa,1998,1,41406142195,43.7,430
Antigua and Barbuda,ATG,Americas,1998,3,1050000000,73.0,7730
Argentina,ARG,Americas,1998,3,440000000000,73.3,7990
Armenia,ARM,Asia,1998,1,6260000000,70.2,590
Aruba,ABW,Americas,1998,4,,73.6,
Australia,AUS,Oceania,1998,5,453000000000,78.6,21770
Austria,AUT,Europe,1998,5,212000000000,77.7,27900
Azerbaijan,AZE,Asia,1998,1,23000000000,65.9,510
"Bahamas, The",BHS,Americas,1998,4,5270000000,71.7,15800
Bahrain,BHR,Asia,1998,3,20800000000,74.2,10000
Bangladesh,BGD,Asia,1998,1,150000000000,64.1,400
Barbados,BRB,Americas,1998,3,2840000000,72.9,9700
Belarus,BLR,Europe,1998,2,50958005164,68.4,1550
Belgium,BEL,Europe,1998,5,250000000000,77.5,26700
Belize,BLZ,Americas,1998,2,1070000000,68.7,2790
Benin,BEN,Africa,1998,1,7830000000,54.9,370
Bermuda,BMU,Americas,1998,4,2140000000,,
Bhutan,BTN,Asia,1998,1,1340000000,58.9,580
Bolivia,BOL,Americas,1998,2,27300000000,59.6,1000
Bosnia and Herzegovina,BIH,Europe,1998,2,14200000000,73.4,1310
Botswana,BWA,Africa,1998,3,12300000000,50.8,3010
Brazil,BRA,Americas,1998,3,1450000000000,69.1,4820
British Virgin Islands,VGB,Americas,1998,,,,
Brunei Darussalam,BRN,Asia,1998,4,19691466924,74.9,14530
Bulgaria,BGR,Europe,1998,2,49600000000,71.1,1390
Burkina Faso,BFA,Africa,1998,1,8710000000,49.8,250
Burundi,BDI,Africa,1998,1,3750000000,50.7,140
Cabo Verde,CPV,Africa,1998,2,1000000000,69.0,1300
Cambodia,KHM,Asia,1998,1,10500000000,56.8,290
Cameroon,CMR,Africa,1998,1,27000000000,52.4,630
Canada,CAN,Americas,1998,5,790000000000,78.7,20800
Cayman Islands,CYM,Americas,1998,4,,,
Central African Republic,CAF,Africa,1998,1,2320000000,45.4,270
Chad,TCD,Africa,1998,1,6420000000,47.6,220
Channel Islands,CHI,Europe,1998,4,,77.0,
Chile,CHL,Americas,1998,3,132000000000,76.0,5350
China,CHN,Asia,1998,6,3050000000000,70.9,800
Colombia,COL,Americas,1998,2,256000000000,70.4,2510
Comoros,COM,Africa,1998,1,543000000,59.3,420
"Congo, Dem. Rep.",COD,Africa,1998,1,21300000000,49.2,120
"Congo, Rep.",COG,Africa,1998,1,10500000000,50.8,580
Costa Rica,CRI,Americas,1998,2,27500000000,77.1,3360
Cote d'Ivoire,CIV,Africa,1998,1,37700000000,47.5,750
Croatia,HRV,Europe,1998,3,44241626863,72.3,5440
Cuba,CUB,Americas,1998,2,85200000000,76.2,2240
Curacao,CUW,Americas,1998,,,,
Cyprus,CYP,Asia,1998,4,12900000000,77.7,15800
Czech Republic,CZE,Europe,1998,3,153000000000,74.5,6060
Denmark,DNK,Europe,1998,5,137000000000,76.1,33600
Djibouti,DJI,Africa,1998,2,1140000000,57.0,720
Dominica,DMA,Americas,1998,2,430000000,,3360
Dominican Republic,DOM,Americas,1998,2,46200000000,70.3,2380
Ecuador,ECU,Americas,1998,2,73900000000,72.3,2170
"Egypt, Arab Rep.",EGY,Africa,1998,2,353000000000,68.0,1210
El Salvador,SLV,Americas,1998,2,27000000000,68.2,1950
Equatorial Guinea,GNQ,Africa,1998,2,3406837252,51.5,790
Eritrea,ERI,Africa,1998,1,4490000000,54.7,220
Estonia,EST,Europe,1998,3,11600000000,69.4,
Ethiopia,ETH,Africa,1998,1,28100000000,50.8,130
Faroe Islands,FRO,Europe,1998,4,,78.0,
Fiji,FJI,Oceania,1998,2,3860000000,67.2,2300
Finland,FIN,Europe,1998,5,121000000000,77.1,25800
France,FRA,Europe,1998,5,1410000000000,78.6,26000
French Polynesia,PYF,Oceania,1998,4,,71.7,16900
Gabon,GAB,Africa,1998,3,18700000000,60.0,3930
"Gambia, The",GMB,Africa,1998,1,1310000000,54.6,710
Georgia,GEO,Asia,1998,2,10500000000,71.0,820
Germany,DEU,Europe,1998,5,2080000000000,77.5,28000
Ghana,GHA,Africa,1998,1,30200000000,57.0,400
Gibraltar,GIB,Europe,1998,,,,
Greece,GRC,Europe,1998,5,193000000000,77.8,13800
Greenland,GRL,Americas,1998,4,,66.2,20400
Grenada,GRD,Americas,1998,3,668000000,69.8,2990
Guam,GUM,Oceania,1998,4,,74.4,
Guatemala,GTM,Americas,1998,2,50200000000,66.7,1600
Guinea,GIN,Africa,1998,1,7150000000,51.5,430
Guinea-Bissau,GNB,Africa,1998,1,1210000000,51.1,150
Guyana,GUY,Americas,1998,2,2560000000,64.7,880
Haiti,HTI,Americas,1998,1,11000000000,57.2,400
Honduras,HND,Americas,1998,1,16000000000,70.0,750
Hong Kong,HKG,Asia,1998,4,157000000000,80.1,24800
Hungary,HUN,Europe,1998,3,107000000000,70.6,4460
Iceland,ISL,Europe,1998,5,7830000000,79.6,29000
India,IND,Asia,1998,1,1790000000000,61.8,420
Indonesia,IDN,Asia,1998,1,886000000000,65.8,660
Iran,IRN,Asia,1998,2,554000000000,69.4,1810
Iraq,IRQ,Asia,1998,2,184000000000,69.1,
Ireland,IRL,Europe,1998,5,93000000000,76.2,21400
Isle of Man,IMN,Europe,1998,,,,18800
Israel,ISR,Asia,1998,4,132000000000,78.1,17700
Italy,ITA,Europe,1998,5,1420000000000,79.0,22100
Jamaica,JAM,Americas,1998,2,15800000000,72.1,2690
Japan,JPN,Asia,1998,5,3170000000000,80.5,34500
Jordan,JOR,Asia,1998,2,26100000000,71.4,1580
Kazakhstan,KAZ,Asia,1998,2,100000000000,64.6,1390
Kenya,KEN,Africa,1998,1,49700000000,51.6,440
Kiribati,KIR,Oceania,1998,2,123610563,63.4,1470
North Korea,PRK,Asia,1998,1,,64.2,
South Korea,KOR,Asia,1998,3,680000000000,74.7,10120
Kosovo,XKX,Europe,1998,0,,69.0,
Kuwait,KWT,Asia,1998,4,106000000000,73.2,20400
Kyrgyz Republic,KGZ,Asia,1998,1,7100000000,67.1,360
Lao PDR,LAO,Asia,1998,1,8410000000,57.8,310
Latvia,LVA,Europe,1998,2,17000000000,69.0,2870
Lebanon,LBN,Asia,1998,3,30700000000,73.5,4970
Lesotho,LSO,Africa,1998,1,2410000000,51.1,680
Liberia,LBR,Africa,1998,1,1180000000,52.1,130
Libya,LBY,Africa,1998,3,,70.3,
Liechtenstein,LIE,Europe,1998,4,,77.7,77500
Lithuania,LTU,Europe,1998,2,27500000000,71.2,
Luxembourg,LUX,Europe,1998,5,18800000000,77.0,42800
Macao,MAC,Asia,1998,4,11900000000,77.2,15500
"Macedonia, FYR",MKD,Europe,1998,2,10400000000,72.8,1940
Madagascar,MDG,Africa,1998,1,15900000000,57.0,250
Malawi,MWI,Africa,1998,1,7180000000,43.7,200
Malaysia,MYS,Asia,1998,3,250000000000,72.5,3600
Maldives,MDV,Asia,1998,2,,68.2,
Mali,MLI,Africa,1998,1,11600000000,48.2,280
Malta,MLT,Europe,1998,4,6110000000,77.4,10000
Marshall Islands,MHL,Oceania,1998,2,111000000,,2530
Mauritania,MRT,Africa,1998,1,5310000000,59.8,550
Mauritius,MUS,Africa,1998,3,8970000000,70.6,3780
Mexico,MEX,Americas,1998,3,923000000000,73.8,4610
"Micronesia, Fed. Sts.",FSM,Oceania,1998,2,245003323,67.1,2010
Moldova,MDA,Europe,1998,1,6540000000,66.6,460
Monaco,MCO,Europe,1998,4,,,95000
Mongolia,MNG,Asia,1998,1,8170000000,62.1,520
Montenegro,MNE,Europe,1998,0,,73.4,
Morocco,MAR,Africa,1998,2,96900000000,67.8,1450
Mozambique,MOZ,Africa,1998,1,7064822987,47.8,260
Myanmar,MMR,Asia,1998,1,36400000000,61.4,
Namibia,NAM,Africa,1998,2,8270000000,57.3,2270
Nauru,NRU,Oceania,1998,,,,
Nepal,NPL,Asia,1998,1,25200000000,60.8,210
Netherlands,NLD,Europe,1998,5,429000000000,77.9,27900
New Caledonia,NCL,Oceania,1998,4,,74.4,15700
New Zealand,NZL,Oceania,1998,5,73700000000,78.1,15800
Nicaragua,NIC,Americas,1998,1,12000000000,68.7,890
Niger,NER,Africa,1998,1,6660000000,49.3,200
Nigeria,NGA,Africa,1998,1,251000000000,46.3,270
Northern Mariana Islands,MNP,Oceania,1998,4,,,
Norway,NOR,Europe,1998,5,125000000000,78.3,36110
Oman,OMN,Asia,1998,3,72300000000,71.5,6570
Pakistan,PAK,Asia,1998,1,342000000000,62.3,470
Palau,PLW,Oceania,1998,3,214000000,,6110
Panama,PAN,Americas,1998,3,22900000000,74.7,3690
Papua New Guinea,PNG,Oceania,1998,2,7670000000,58.2,780
Paraguay,PRY,Americas,1998,2,25600000000,69.6,1720
Peru,PER,Americas,1998,2,125000000000,69.5,2140
Philippines,PHL,Asia,1998,2,234000000000,66.4,1200
Poland,POL,Europe,1998,3,366000000000,73.0,4330
Portugal,PRT,Europe,1998,5,169000000000,75.7,12170
Puerto Rico,PRI,Americas,1998,3,91200000000,75.0,8710
Qatar,QAT,Asia,1998,4,,76.3,
Romania,ROU,Europe,1998,2,126000000000,69.8,1590
Russian Federation,RUS,Europe,1998,2,806000000000,66.8,2130
Rwanda,RWA,Africa,1998,1,4200000000,43.4,260
Samoa,WSM,Oceania,1998,2,528000000,68.8,1550
San Marino,SMR,Europe,1998,0,,80.2,
Sao Tome and Principe,STP,Africa,1998,1,,63.0,
Saudi Arabia,SAU,Asia,1998,3,554000000000,72.0,7870
Senegal,SEN,Africa,1998,1,13100000000,57.4,530
Serbia,SRB,Europe,1998,,43700000000,,2800
Seychelles,SYC,Africa,1998,3,1110000000,,7320
Sierra Leone,SLE,Africa,1998,1,3040000000,37.0,190
Singapore,SGP,Asia,1998,4,137000000000,77.3,24000
Sint Maarten (Dutch part),SXM,Americas,1998,,,,
Slovak Republic,SVK,Europe,1998,3,57200000000,72.6,5410
Slovenia,SVN,Europe,1998,4,31800000000,74.8,11100
Solomon Islands,SLB,Oceania,1998,1,638000000,61.5,1320
Somalia,SOM,Africa,1998,1,,49.8,
South Africa,ZAF,Africa,1998,2,312000000000,58.4,3370
South Sudan,SSD,Africa,1998,0,,48.4,
Spain,ESP,Europe,1998,5,765000000000,78.7,15700
Sri Lanka,LKA,Asia,1998,2,71900000000,69.9,820
St. Kitts and Nevis,KNA,Americas,1998,3,611000000,,7240
St. Lucia,LCA,Americas,1998,3,1110000000,71.2,3800
St. Martin (French part),MAF,Americas,1998,0,,76.6,
St. Vincent and the Grenadines,VCT,Americas,1998,2,596000000,70.6,3180
Sudan,SDN,Africa,1998,1,54000000000,57.3,320
Suriname,SUR,Americas,1998,2,3560000000,67.9,1940
Swaziland,SWZ,Africa,1998,2,4640000000,51.8,1650
Sweden,SWE,Europe,1998,5,226000000000,79.3,31120
Switzerland,CHE,Europe,1998,5,234000000000,79.3,45000
Syrian Arab Republic,SYR,Asia,1998,2,,72.2,920
Tajikistan,TJK,Asia,1998,1,4980000000,63.1,180
Tanzania,TZA,Africa,1998,1,34100000000,49.3,250
Thailand,THA,Asia,1998,2,404000000000,70.4,2090
Timor-Leste,TLS,Asia,1998,0,,57.3,
Togo,TGO,Africa,1998,1,4764833768,53.7,330
Tonga,TON,Oceania,1998,2,321000000,70.5,2210
Trinidad and Tobago,TTO,Americas,1998,3,15300000000,68.5,4620
Tunisia,TUN,Africa,1998,2,50500000000,72.1,2190
Turkey,TUR,Asia,1998,3,544000000000,68.8,3410
Turkmenistan,TKM,Asia,1998,1,14962238782,63.6,560
Turks and Caicos Islands,TCA,Americas,1998,,,,
Tuvalu,TUV,Oceania,1998,,22600000,,
Uganda,UGA,Africa,1998,1,17500000000,44.9,290
Ukraine,UKR,Europe,1998,2,170000000000,68.0,850
United Arab Emirates,ARE,Asia,1998,4,219000000000,73.9,
United Kingdom,GBR,Europe,1998,5,1360000000000,77.2,26300
United States,USA,Americas,1998,5,9090000000000,76.6,32200
Uruguay,URY,Americas,1998,3,33900000000,74.2,7240
Uzbekistan,UZB,Asia,1998,2,43513038866,66.7,620
Vanuatu,VUT,Oceania,1998,2,375000000,66.8,1420
"Venezuela, RB",VEN,Americas,1998,3,276000000000,71.8,3340
Vietnam,VNM,Asia,1998,1,140000000000,72.7,360
Virgin Islands (U.S.),VIR,Americas,1998,4,,77.1,
West Bank and Gaza,PSE,Asia,1998,0,8820000000,70.4,1940
"Yemen, Rep.",YEM,Asia,1998,1,48213898063,60.0,370
Zambia,ZMB,Africa,1998,1,15547922271,42.4,350
Zimbabwe,ZWE,Africa,1998,1,25020960902,44.3,590
Taiwan,TWN,Asia,1998,4,408000000000,76.8,12934
Afghanistan,AFG,Asia,1999,1,,54.8,
Albania,ALB,Europe,1999,2,11500000000,73.8,1010
Algeria,DZA,Africa,1999,2,238000000000,69.8,1530
American Samoa,ASM,Oceania,1999,3,,,
Andorra,AND,Europe,1999,,,,19300
Angola,AGO,Africa,1999,1,43400000000,44.4,360
Antigua and Barbuda,ATG,Americas,1999,3,1110000000,73.2,8000
Argentina,ARG,Americas,1999,3,432000000000,73.5,7540
Armenia,ARM,Asia,1999,1,6570000000,70.8,610
Aruba,ABW,Americas,1999,4,,73.7,
Australia,AUS,Oceania,1999,5,478000000000,78.9,21400
Austria,AUT,Europe,1999,5,220000000000,77.9,27200
Azerbaijan,AZE,Asia,1999,1,25000000000,66.4,570
"Bahamas, The",BHS,Americas,1999,4,5730000000,72.0,19000
Bahrain,BHR,Asia,1999,3,22000000000,74.4,9800
Bangladesh,BGD,Asia,1999,1,159000000000,64.7,410
Barbados,BRB,Americas,1999,3,2890000000,73.0,10100
