Country,ISO,Region,Year,World Bank Classification,r_Gross Domestic Product (PPP),y_Life Expectancy (years),x_GNI per capita (US$)
Latvia,LVA,Europe,1990,0,,69.3,
Lebanon,LBN,Asia,1990,2,13700000000,70.2,1360
Lesotho,LSO,Africa,1990,1,1410000000,59.3,580
Liberia,LBR,Africa,1990,1,,47.2,
Libya,LBY,Africa,1990,3,,68.6,
Liechtenstein,LIE,Europe,1990,,,,45500
Lithuania,LTU,Europe,1990,0,,71.2,
Luxembourg,LUX,Europe,1990,5,11800000000,75.0,28600
Macao,MAC,Asia,1990,3,8000000000,75.3,8530
"Macedonia, FYR",MKD,Europe,1990,0,10500000000,71.1,
Madagascar,MDG,Africa,1990,1,12400000000,51.0,240
Malawi,MWI,Africa,1990,1,4540000000,43.8,180
Malaysia,MYS,Asia,1990,2,123000000000,70.8,2370
Maldives,MDV,Asia,1990,1,,61.4,
Mali,MLI,Africa,1990,1,6960000000,46.5,290
Malta,MLT,Europe,1990,3,3310000000,75.2,7600
Marshall Islands,MHL,Oceania,1990,,88200000,,
Mauritania,MRT,Africa,1990,1,3680000000,58.4,490
Mauritius,MUS,Africa,1990,2,5050000000,69.4,2440
Mexico,MEX,Americas,1990,3,515000000000,70.8,2750
"Micronesia, Fed. Sts.",FSM,Oceania,1990,0,172000000,66.2,
Moldova,MDA,Europe,1990,0,,67.5,
Monaco,MCO,Europe,1990,,,,79600
Mongolia,MNG,Asia,1990,2,7230000000,60.3,1430
Montenegro,MNE,Europe,1990,0,,74.4,
Morocco,MAR,Africa,1990,2,63455192137,64.7,1150
Mozambique,MOZ,Africa,1990,1,3240000000,43.1,180
Myanmar,MMR,Asia,1990,1,19500000000,58.7,
Namibia,NAM,Africa,1990,2,5230000000,61.2,2020
Nauru,NRU,Oceania,1990,,,,
Nepal,NPL,Asia,1990,1,14500000000,54.2,210
Netherlands,NLD,Europe,1990,5,283000000000,76.9,20100
New Caledonia,NCL,Oceania,1990,3,,70.5,14800
New Zealand,NZL,Oceania,1990,5,49500000000,75.4,13600
Nicaragua,NIC,Americas,1990,2,8090000000,64.1,310
Niger,NER,Africa,1990,1,4630000000,44.0,300
Nigeria,NGA,Africa,1990,1,187000000000,46.1,290
Northern Mariana Islands,MNP,Oceania,1990,,,,
Norway,NOR,Europe,1990,5,78175913424,76.5,26510
Oman,OMN,Asia,1990,3,41000000000,67.3,5710
Pakistan,PAK,Asia,1990,1,213000000000,60.1,420
Palau,PLW,Oceania,1990,0,,69.1,
Panama,PAN,Americas,1990,2,12500000000,73.0,2660
Papua New Guinea,PNG,Oceania,1990,2,4320000000,55.7,820
Paraguay,PRY,Americas,1990,2,16400000000,68.0,
Peru,PER,Americas,1990,2,74900000000,65.5,880
Philippines,PHL,Asia,1990,2,161000000000,65.3,720
Poland,POL,Europe,1990,2,235000000000,70.9,
Portugal,PRT,Europe,1990,3,117000000000,74.0,7140
Puerto Rico,PRI,Americas,1990,3,57800000000,74.2,6150
Qatar,QAT,Asia,1990,4,,75.1,
Romania,ROU,Europe,1990,2,122000000000,69.7,
Russian Federation,RUS,Europe,1990,0,1190000000000,68.9,
Rwanda,RWA,Africa,1990,1,3990000000,33.5,350
Samoa,WSM,Oceania,1990,2,384000000,65.0,
San Marino,SMR,Europe,1990,,,,
Sao Tome and Principe,STP,Africa,1990,1,,61.8,
Saudi Arabia,SAU,Asia,1990,3,374000000000,69.2,7230
Senegal,SEN,Africa,1990,2,9000000000,57.2,710
Serbia,SRB,Europe,1990,,,,
Seychelles,SYC,Africa,1990,3,639000000,,5000
Sierra Leone,SLE,Africa,1990,1,3490000000,37.4,200
Singapore,SGP,Asia,1990,4,67500000000,75.3,11500
Sint Maarten (Dutch part),SXM,Americas,1990,,,,
Slovak Republic,SVK,Europe,1990,0,,70.9,
Slovenia,SVN,Europe,1990,0,,73.2,
Solomon Islands,SLB,Oceania,1990,1,361000000,56.7,
Somalia,SOM,Africa,1990,1,,45.4,
South Africa,ZAF,Africa,1990,3,236000000000,62.1,3390
South Sudan,SSD,Africa,1990,0,,43.5,
Spain,ESP,Europe,1990,5,530000000000,76.8,12200
Sri Lanka,LKA,Asia,1990,1,40500000000,69.7,470
St. Kitts and Nevis,KNA,Americas,1990,3,378000000,,4940
St. Lucia,LCA,Americas,1990,2,709000000,71.0,2730
St. Martin (French part),MAF,Americas,1990,0,,74.5,
St. Vincent and the Grenadines,VCT,Americas,1990,2,387000000,70.1,2110
Sudan,SDN,Africa,1990,1,29200000000,55.5,530
Suriname,SUR,Americas,1990,3,2790000000,67.5,1430
Swaziland,SWZ,Africa,1990,2,3080000000,59.3,1230
Sweden,SWE,Europe,1990,5,172000000000,77.5,27760
Switzerland,CHE,Europe,1990,5,185000000000,77.2,36900
Syrian Arab Republic,SYR,Asia,1990,2,,70.1,910
Tajikistan,TJK,Asia,1990,0,12400000000,62.9,
Tanzania,TZA,Africa,1990,1,23600000000,50.0,200
Thailand,THA,Asia,1990,2,243000000000,70.2,1490
Timor-Leste,TLS,Asia,1990,0,,48.5,
Togo,TGO,Africa,1990,1,3300000000,55.8,400
Tonga,TON,Oceania,1990,2,220000000,69.6,1220
Trinidad and Tobago,TTO,Americas,1990,3,9680000000,68.0,3710
Tunisia,TUN,Africa,1990,2,29900000000,70.3,1430
Turkey,TUR,Asia,1990,2,331000000000,64.3,2300
Turkmenistan,TKM,Asia,1990,0,19800000000,62.7,
Turks and Caicos Islands,TCA,Americas,1990,,,,
Tuvalu,TUV,Oceania,1990,,13800000,,
Uganda,UGA,Africa,1990,1,8800000000,45.1,320
Ukraine,UKR,Europe,1990,0,351000000000,70.1,
United Arab Emirates,ARE,Asia,1990,4,134000000000,71.7,
United Kingdom,GBR,Europe,1990,5,958000000000,75.9,18300
United States,USA,Americas,1990,5,5980000000000,75.2,24200
Uruguay,URY,Americas,1990,3,19800000000,72.5,2840
Uzbekistan,UZB,Asia,1990,0,40700000000,66.7,
Vanuatu,VUT,Oceania,1990,2,242000000,63.2,1200
"Venezuela, RB",VEN,Americas,1990,3,186000000000,69.8,2550
